high,open,symbol,price,relvolume,low,percentchange,watchers,hourchange,sentiment
482.74,480.46,NOC,476.66,0.3145,476.605,-0.5861,8043,0,7.5
289.05,285.99,MSFT,288.39,0.428,284.54,0.0069,443644,3,4.78
278.88,273.61,NVDA,278.3599,0.5981,272.32,0.6108,421918,-3,2.29
228.49,225.06,ENPH,224.19,0.4435,222.3,-1.615,37476,0,-0.26
217.33,213.472,META,216.25,0.4261,212.94,-0.7527,512959,-1,2.41
183.5,179.1,TSLA,182.9675,0.5589,177.65,-0.7284,891974,16,0.13
168.16,165.8,AAPL,167.75,0.5633,165.54,0.7689,878176,7,3.04
141.5,141.23,JPM,141.375,0.4894,140.41,-0.0177,82989,0,-0.7
128.9,128.58,EA,128.525,0.299,128.08,-0.3991,20704,0,10.0
126.98,126.5,IBM,126.02,0.7192,125.3,-1.3774,51405,2,1.02
105.12,101.58,AMZN,104.98,0.7459,101.39,2.6197,588736,8,2.54
104.98,103.58,GOOGL,104.455,0.3948,103.07,-0.0431,160556,2,-0.17
91.12,91.0,SONY,90.9672,0.3675,90.73,-0.3754,2086,0,0.0
90.54,88.51,AMD,89.81,0.4975,88.22,0.0334,456899,2,1.42
31.52,31.1,INTC,31.263,0.336,31.0828,-1.7813,131279,-4,-0.62
8.8208,8.6,CVNA,8.785,0.2608,8.3,-0.1705,23285,0,-4.31
6.1,5.9,SOFI,6.085,0.4365,5.87,1.7559,91947,0,0.91
5.17,4.95,AMC,5.075,0.2727,4.92,0.495,413183,2,-1.84
