price,high,low,symbol,open,percentchange,relvolume,watchers,hourchange,sentiment
208.9,214.57,204.67,ENPH,209.77,-0.3767,0.6939,37428,2,-3.02
127.87,128.53,127.45,EA,127.98,-0.3196,0.4028,20705,0,0.0
90.86,91.46,90.412,SONY,90.85,0.4089,0.8867,2088,0,0.0
185.0,186.28,182.01,TSLA,183.95,-0.4841,0.5598,891431,-4,0.43
31.89,32.235,31.69,INTC,32.0,-0.747,0.4201,131242,1,-1.3
5.12,5.75,4.9,AMC,5.74,-6.2271,0.9005,413215,0,-0.68
5.92,6.03,5.77,SOFI,5.99,1.0239,0.6398,91903,3,-1.02
472.57,473.09,468.765,NOC,470.55,-0.3353,0.3372,8040,0,0.0
267.58,268.83,262.2,NVDA,265.04,1.1148,0.7461,421598,-4,-0.7
286.14,288.48,283.69,MSFT,287.0,-1.2766,0.5743,443406,3,-0.17
8.97,9.798,8.68,CVNA,9.47,-4.2689,0.3345,23324,-1,-2.42
91.75,92.97,90.5,AMD,91.82,-0.3692,0.5911,456773,4,0.49
102.51,103.2013,101.11,AMZN,102.07,0.1074,0.7199,588482,4,1.49
221.49,222.11,217.56,META,217.88,0.5174,0.6378,512857,3,1.17
128.14,129.84,127.31,IBM,128.46,0.1876,0.6373,51370,0,-6.18
108.87,108.935,106.88,GOOGL,106.89,1.3404,0.566,160403,1,-0.64
165.21,166.32,163.83,AAPL,164.59,-0.2114,0.6406,877861,2,1.43
138.73,139.12,134.9001,JPM,135.15,7.551,3.0765,82946,10,5.37
