percentchange,high,low,open,price,symbol,relvolume,watchers,hourchange,sentiment
0.9542,280.0,272.32,273.61,279.31,NVDA,0.6812,421921,-2,4.84
-0.5006,482.7909,476.2,480.46,477.07,NOC,0.4242,8043,0,6.06
0.1782,90.54,88.22,88.51,89.94,AMD,0.5543,456906,0,0.56
1.955,105.12,101.39,101.58,104.3,AMZN,0.8364,588754,3,2.58
-0.3062,104.98,103.07,103.58,104.18,GOOGL,0.4564,160559,0,-0.2
-1.1426,126.98,125.3,126.5,126.32,IBM,0.9493,51443,9,0.13
-1.0051,217.33,212.94,213.472,215.7,META,0.4728,512954,-2,3.39
-0.1273,141.5,140.4,141.23,141.22,JPM,0.5763,82988,-2,-0.16
-0.6665,128.9,128.075,128.58,128.18,EA,0.3668,20704,0,10.0
-1.5798,228.49,222.3,225.06,224.27,ENPH,0.5032,37474,-1,-0.61
0.0277,289.05,284.54,285.99,288.45,MSFT,0.4744,443653,-3,6.78
-2.0183,183.5,177.65,179.1,180.59,TSLA,0.6315,892091,22,-1.52
1.6722,6.1,5.87,5.9,6.08,SOFI,0.4953,91972,-1,1.26
-1.9318,8.8426,8.295,8.6,8.63,CVNA,0.2952,23282,-2,-2.34
-0.3724,91.12,90.73,91.0,90.97,SONY,0.5063,2089,2,0.0
0.6968,168.16,165.54,165.8,167.63,AAPL,0.6395,878191,4,6.18
-2.1363,31.52,31.0828,31.1,31.15,INTC,0.4343,131281,0,1.89
0.9901,5.17,4.92,4.95,5.1,AMC,0.3154,413186,3,-0.99
