relvolume,high,percentchange,open,low,price,symbol,watchers,hourchange,sentiment
0.6485,268.869,-0.1208,267.34,263.29,264.63,NVDA,421515,3,-2.68
0.5092,5.66,2.2472,5.48,5.39,5.46,AMC,413219,3,-3.19
0.8567,165.8,3.4104,161.63,161.44,165.56,AAPL,877752,9,4.25
0.8901,128.39,-0.4979,128.01,126.01,127.9,IBM,51365,1,6.94
0.602,289.9,2.2399,283.59,283.17,289.84,MSFT,443354,4,0.83
0.9312,102.56,4.6714,98.95,98.73,102.4,AMZN,588378,1,4.69
0.3162,9.76,1.4069,9.27,9.201,9.37,CVNA,23338,0,1.75
0.7779,129.035,0.3813,128.46,126.84,128.99,JPM,82724,12,5.21
0.5437,5.98,0.6873,5.91,5.825,5.86,SOFI,91912,1,2.23
0.3826,476.065,0.294,472.0,469.78,474.16,NOC,8038,0,-16.67
0.474,32.4252,0.3435,31.82,31.65,32.13,INTC,131233,1,4.48
0.7734,90.83,1.174,90.1,90.0,90.49,SONY,2088,0,0.0
0.5101,107.49,2.6663,105.84,105.9,107.43,GOOGL,160358,0,-1.99
0.4634,128.72,1.7046,126.58,126.58,128.28,EA,20703,0,6.67
0.6485,186.5,2.9689,182.955,180.94,185.9,TSLA,891316,2,1.06
0.6771,221.15,2.9673,215.73,215.82,220.35,META,512797,4,2.53
0.9909,211.55,6.9683,200.01,198.52,209.69,ENPH,37423,0,-4.82
0.6105,93.16,-0.2599,92.79,91.83,92.09,AMD,456763,3,1.01
