relvolume,price,symbol,low,percentchange,open,high,watchers,hourchange,sentiment
1.4706,90.65,SONY,89.75,1.5004,89.77,90.92,2084,0,0.0
0.7758,277.77,NVDA,271.05,1.4388,271.4,278.34,420627,1,4.48
0.544,210.28,ENPH,205.81,2.4407,206.02,212.12,37335,-1,0.71
0.5809,131.09,IBM,129.42,1.4471,129.47,131.23,51344,0,2.22
0.4159,461.72,NOC,459.45,0.1605,462.98,463.32,8029,0,0.0
0.4763,5.01,AMC,4.87,0.8048,4.91,5.055,412472,3,0.11
1.0566,6.07,SOFI,5.67,6.1189,5.75,6.17,91781,-1,1.89
0.653,211.94,META,206.77,1.9727,207.24,212.17,512333,0,4.06
1.0575,32.67,INTC,31.74,1.8074,31.8,32.8998,131091,2,0.48
0.8317,98.01,AMD,95.27,0.1328,96.34,98.36,456388,-1,3.83
0.7363,164.9,AAPL,162.13,1.5644,162.44,165.0,876839,0,4.95
0.9318,207.46,TSLA,197.23,6.2372,197.53,207.79,889882,6,8.14
0.475,9.79,CVNA,8.77,10.872,8.9,9.79,23371,1,6.73
0.7248,288.3,MSFT,283.03,1.4962,283.73,288.81,442662,0,2.36
0.6957,120.45,EA,118.985,1.1335,119.38,120.53,20709,0,0.0
0.7219,130.31,JPM,128.8514,1.2117,129.66,130.34,82481,0,-2.7
0.6778,103.73,GOOGL,101.05,2.8149,101.3,103.89,159925,-1,2.66
0.6381,103.29,AMZN,101.95,1.2647,102.16,103.42,587497,5,3.18
