relvolume,high,open,symbol,percentchange,low,price,watchers,hourchange,sentiment
0.2004,461.5,458.31,NOC,-0.0011,457.59,458.245,8016,0,-2.78
0.459,276.13,275.79,MSFT,-1.1397,272.05,273.23,442486,4,-2.62
0.5652,265.13,264.47,NVDA,-1.0669,258.5,262.4793,420423,3,-0.39
0.4281,200.43,200.15,META,-1.4889,197.9,199.82,512220,-3,-3.47
0.2732,196.515,196.0,ENPH,-2.3541,190.624,191.22,37298,-1,-3.4
0.4545,192.35,192.0,TSLA,-2.101,185.43,187.78,889585,16,-3.02
0.4364,158.1277,157.97,AAPL,-1.0614,155.98,156.6,876656,3,-2.51
0.3447,129.66,129.18,IBM,-0.1523,128.8,129.113,51344,0,3.35
0.6006,129.3417,128.71,JPM,-0.0195,127.75,128.465,82450,-1,-1.89
0.3736,118.4425,118.085,EA,-0.6827,117.38,117.83,20715,0,-1.01
0.5962,102.4,102.44,GOOGL,-1.5957,99.7401,100.825,159817,0,-4.76
0.3953,98.44,98.11,AMZN,-1.2903,96.29,96.775,587260,7,-1.74
0.7646,96.93,96.77,AMD,-2.7533,92.87,93.95,456309,2,-1.22
0.5608,86.6682,86.11,SONY,-0.7849,85.745,85.96,2081,0,0.0
0.4872,29.23,29.075,INTC,-0.2313,28.63,29.1125,130891,0,-0.81
0.1828,7.72,7.57,CVNA,-2.8215,7.22,7.405,23387,-7,-0.32
0.45,5.79,5.74,SOFI,-2.691,5.51,5.605,91755,0,0.53
1.7791,5.5,4.51,AMC,15.0967,4.46,5.2369,412081,107,-0.37
