price,percentchange,open,low,relvolume,symbol,high,watchers,hourchange,sentiment
162.03,-1.5972,161.42,160.08,0.6369,AAPL,162.03,877529,6,-3.75
127.89,0.3295,126.54,126.22,0.5624,JPM,128.23,82591,2,-2.49
214.75,-0.6247,214.71,210.66,0.4571,META,215.66,512690,4,-1.44
88.51,0.3856,87.76,87.73,0.4657,SONY,88.52,2088,0,0.0
106.44,-1.8262,106.98,105.12,0.6059,GOOGL,107.59,160299,0,0.22
32.52,-0.8839,32.6,32.2,0.4854,INTC,32.76,131211,1,-0.81
131.03,0.4061,129.83,129.24,0.3796,IBM,131.08,51364,-2,-1.68
125.62,0.3675,124.79,123.74,0.3892,EA,125.8,20703,0,4.44
184.51,-0.2972,179.94,176.11,0.8207,TSLA,185.0994,891043,8,-0.18
289.39,-0.7579,289.208,284.72,0.6369,MSFT,289.6,443164,3,-1.38
9.31,3.3296,9.0,8.62,0.3262,CVNA,9.35,23315,-1,3.35
102.17,0.1078,100.96,99.57,0.5167,AMZN,102.2,588098,7,-0.6
5.24,6.9388,4.77,4.74,1.2692,AMC,5.37,413138,-1,0.6
195.8,2.5131,189.09,188.51,0.4136,ENPH,195.9,37407,4,-1.76
476.54,1.3074,470.98,470.98,0.4565,NOC,478.17,8041,0,-16.67
95.48,3.2551,91.32,91.02,0.7903,AMD,95.79,456696,2,8.89
5.91,2.7826,5.69,5.66,0.5343,SOFI,5.92,91907,0,1.07
275.79,2.0047,268.23,266.69,0.7128,NVDA,276.2099,421316,5,2.28
