percentchange,price,symbol,open,high,relvolume,low,watchers,hourchange,sentiment
1.8074,32.67,INTC,31.8,32.8998,1.0575,31.74,131094,-2,0.0
0.1328,98.01,AMD,96.34,98.36,0.8317,95.27,456390,0,4.01
10.872,9.79,CVNA,8.9,9.79,0.475,8.77,23373,-3,7.44
6.2372,207.46,TSLA,197.53,207.79,0.9318,197.23,889873,6,7.81
1.5644,164.9,AAPL,162.44,165.0,0.7363,162.13,876843,10,4.88
1.1335,120.45,EA,119.38,120.53,0.6957,118.985,20709,0,-7.14
1.4962,288.3,MSFT,283.73,288.81,0.7248,283.03,442661,4,2.56
1.2117,130.31,JPM,129.66,130.34,0.7219,128.8514,82483,-1,-2.19
2.8149,103.73,GOOGL,101.3,103.89,0.6778,101.05,159928,2,3.22
1.2647,103.29,AMZN,102.16,103.42,0.6381,101.95,587485,5,2.35
1.5004,90.65,SONY,89.77,90.92,1.4706,89.75,2084,0,0.0
1.4388,277.77,NVDA,271.4,278.34,0.7758,271.05,420635,5,4.13
2.4407,210.28,ENPH,206.02,212.12,0.544,205.81,37336,2,-1.0
1.4471,131.09,IBM,129.47,131.23,0.5809,129.42,51346,0,2.04
6.1189,6.07,SOFI,5.75,6.17,1.0566,5.67,91783,-1,0.97
0.1605,461.72,NOC,462.98,463.32,0.4159,459.45,8027,1,0.0
1.9727,211.94,META,207.24,212.17,0.653,206.77,512329,0,3.58
0.8048,5.01,AMC,4.91,5.055,0.4763,4.87,412473,-4,0.1
