high,low,open,symbol,price,percentchange,relvolume,watchers,hourchange,sentiment
471.94,465.0,468.73,NOC,468.1,-0.2323,0.3915,8033,0,0.0
105.58,104.04,104.33,GOOGL,104.72,0.345,0.5141,160041,1,4.12
4.45,3.88,4.08,AMC,3.91,-23.4834,2.4701,412830,-3,-5.44
125.47,121.23,121.43,EA,125.24,3.2056,1.0756,20707,0,0.0
9.72,8.93,9.44,CVNA,9.5,2.2605,0.3434,23345,1,-1.79
216.24,212.54,213.39,META,214.72,0.7744,0.5769,512513,0,5.69
198.7446,190.32,197.32,TSLA,192.58,-1.1244,0.711,890496,10,0.83
132.1499,130.89,131.99,IBM,131.6,-0.3483,0.5043,51356,1,0.0
97.27,95.21,97.038,AMD,95.87,-0.7146,0.6455,456542,1,-1.07
203.2,198.65,202.89,ENPH,202.54,-0.0296,0.4624,37369,2,0.34
91.145,90.36,90.78,SONY,91.01,-0.3504,0.9783,2087,0,0.0
6.095,5.835,6.1,SOFI,5.89,-2.3217,0.4678,91854,0,-0.4
33.84,32.85,32.85,INTC,33.1,0.6385,1.059,131182,0,2.99
130.59,127.41,130.5,JPM,128.42,-1.3368,0.702,82527,-2,5.61
104.2,102.11,102.75,AMZN,103.95,1.5038,0.6103,587783,7,2.17
166.83,165.11,166.595,AAPL,165.63,-0.325,0.5431,877173,-8,2.24
290.4499,285.67,287.23,MSFT,287.18,-0.0174,0.6652,442890,0,1.2
280.0,273.08,279.66,NVDA,274.53,-1.8309,0.686,420931,6,1.79
