symbol,percentchange,low,open,high,price,relvolume,watchers,hourchange,sentiment
AMZN,1.5038,102.11,102.75,104.2,103.95,0.6103,587805,-9,1.69
NVDA,-1.8309,273.08,279.66,280.0,274.53,0.686,420963,5,0.05
GOOGL,0.345,104.04,104.33,105.58,104.72,0.5141,160055,2,3.16
AMC,-23.4834,3.88,4.08,4.45,3.91,2.4701,412856,-4,-4.15
NOC,-0.2323,465.0,468.73,471.94,468.1,0.3915,8035,-1,0.0
EA,3.2056,121.23,121.43,125.47,125.24,1.0756,20708,0,0.0
META,0.7744,212.54,213.39,216.24,214.72,0.5769,512522,3,3.71
CVNA,2.2605,8.93,9.44,9.72,9.5,0.3434,23341,-2,-1.63
TSLA,-1.1244,190.32,197.32,198.7446,192.58,0.711,890514,2,0.31
AMD,-0.7146,95.21,97.038,97.27,95.87,0.6455,456549,2,-2.1
IBM,-0.3483,130.89,131.99,132.1499,131.6,0.5043,51357,0,0.0
SONY,-0.3504,90.36,90.78,91.145,91.01,0.9783,2087,0,0.0
ENPH,-0.0296,198.65,202.89,203.2,202.54,0.4624,37367,0,0.88
SOFI,-2.3217,5.835,6.1,6.095,5.89,0.4678,91865,2,-0.6
INTC,0.6385,32.85,32.85,33.84,33.1,1.059,131191,1,3.11
JPM,-1.3368,127.41,130.5,130.59,128.42,0.702,82528,2,8.1
AAPL,-0.325,165.11,166.595,166.83,165.63,0.5431,877188,9,0.62
MSFT,-0.0174,285.67,287.23,290.4499,287.18,0.6652,442895,0,-0.81
