percentchange,relvolume,symbol,open,price,high,low,watchers,hourchange,sentiment
0.2334,0.7301,MSFT,284.79,283.49,287.01,281.96,443296,0,-1.71
0.3581,0.4105,EA,126.28,126.13,127.1812,125.82,20703,0,-16.67
-0.4353,0.6508,AAPL,161.22,160.1,162.06,159.78,877688,4,0.58
-1.8079,0.8136,AMD,94.97,92.33,94.995,91.74,456745,-2,5.58
-1.6575,0.827,AMC,5.62,5.34,5.74,5.34,413218,0,0.01
-5.3279,0.5844,CVNA,9.79,9.24,10.32,8.79,23329,0,5.67
0.5961,0.4882,SONY,90.0,89.44,90.4,89.29,2089,0,0.0
-0.0156,0.66,JPM,129.18,128.5,130.43,128.0603,82625,1,-3.21
-3.346,0.8639,TSLA,190.74,180.54,191.58,180.31,891235,8,-0.46
0.0701,0.5478,META,214.835,214.0,216.84,212.584,512769,3,-1.85
-2.4808,0.8408,NVDA,273.7,264.95,274.63,264.4786,421444,0,-0.32
-2.0917,0.7773,AMZN,100.4,97.83,100.51,97.705,588275,2,-0.12
-0.4317,0.4414,ENPH,199.9,196.03,201.26,195.81,37410,0,2.29
-0.6739,0.5099,GOOGL,106.58,104.64,106.75,104.34,160346,2,0.16
-1.0201,0.5877,INTC,32.77,32.02,32.89,31.96,131233,0,-7.09
-1.4415,0.6074,IBM,130.4,128.54,130.87,128.18,51369,0,-2.42
0.961,0.4255,NOC,467.43,472.77,474.7299,466.03,8038,0,3.33
-2.5126,0.9555,SOFI,6.06,5.82,6.05,5.67,91916,0,-0.34
