price,percentchange,low,high,relvolume,open,symbol,watchers,hourchange,sentiment
4.97,-0.6,4.865,5.16,0.5325,5.11,AMC,412471,1,0.75
162.36,0.989,161.271,162.47,0.5827,161.53,AAPL,876773,2,4.34
284.05,1.262,281.5,284.46,0.6427,284.23,MSFT,442605,5,-0.15
207.84,1.2126,202.85,208.09,0.6432,203.38,META,512306,5,6.08
205.27,0.6472,203.96,214.19,0.6629,209.435,ENPH,37320,-1,-2.39
128.75,-0.302,127.65,130.12,0.7826,129.95,JPM,82477,3,1.21
100.89,-0.4931,99.78,101.155,0.6807,100.91,GOOGL,159894,4,2.76
5.72,-0.5217,5.62,5.93,0.6344,5.87,SOFI,91770,1,-1.7
32.09,1.8084,31.81,32.58,1.4198,31.85,INTC,131059,5,4.5
102.0,1.7456,101.01,103.04,0.6777,101.55,AMZN,587428,3,3.47
97.88,1.8628,97.25,99.53,0.8812,98.0,AMD,456364,0,-2.74
460.98,-0.1278,458.5,462.92,0.3938,460.46,NOC,8023,0,0.0
129.22,-0.3778,129.1,131.48,0.5487,130.16,IBM,51343,0,8.38
119.1,-0.0755,118.85,120.05,0.5217,120.0,EA,20710,0,5.56
8.83,12.1982,8.0748,9.0,0.5721,8.08,CVNA,23362,0,-4.62
195.28,0.7221,194.42,197.328,0.6092,195.58,TSLA,889755,4,4.2
273.83,1.4787,271.02,274.99,0.6652,272.29,NVDA,420573,3,2.26
89.31,1.6388,88.555,89.53,1.4544,88.7,SONY,2082,0,0.0
