symbol,low,relvolume,high,open,percentchange,price,watchers,hourchange,sentiment
NOC,458.615,0.3938,462.865,460.46,-0.1582,460.84,8023,3,0.0
MSFT,281.5,0.6427,284.46,284.23,1.2513,284.02,442593,5,2.31
NVDA,271.02,0.6652,274.99,272.29,1.5083,273.91,420565,7,2.55
META,202.85,0.6432,208.09,203.38,1.2028,207.82,512294,4,6.27
ENPH,203.96,0.6629,214.19,209.435,0.5786,205.13,37319,0,-2.23
TSLA,194.42,0.6092,197.328,195.58,0.6757,195.19,889738,4,5.7
AAPL,161.271,0.5827,162.47,161.53,0.9517,162.3,876775,3,4.67
IBM,129.1,0.5487,131.47,130.16,-0.4086,129.18,51348,0,8.71
JPM,127.65,0.7826,130.12,129.95,-0.2904,128.765,82475,0,3.37
EA,118.85,0.5217,120.05,120.0,-0.0755,119.1,20710,0,5.56
AMZN,101.01,0.6777,103.04,101.55,1.7057,101.96,587434,7,5.86
GOOGL,99.78,0.6807,101.155,100.91,-0.572,100.81,159881,2,3.16
AMD,97.25,0.8812,99.53,98.0,1.8628,97.88,456364,4,-4.31
SONY,88.64,1.4544,89.53,88.7,1.6615,89.33,2081,0,0.0
INTC,31.81,1.4198,32.58,31.85,1.7608,32.075,131055,-4,11.31
CVNA,8.079,0.5721,9.0,8.08,12.1982,8.83,23366,1,-6.96
SOFI,5.62,0.6344,5.93,5.87,-0.4348,5.725,91775,-2,-0.21
AMC,4.87,0.5325,5.16,5.11,-1.4,4.93,412490,-4,1.11
