relvolume,open,low,percentchange,price,symbol,high,watchers,hourchange,sentiment
0.8619,270.31,263.55,-1.5152,267.79,NVDA,271.67,420203,3,-1.13
0.2716,8.18,7.95,-1.9162,8.19,CVNA,8.47,23415,-2,-0.45
1.0179,99.18,96.74,-2.3235,97.95,AMD,99.52,456186,2,-2.47
0.6283,123.36,122.88,1.5563,125.29,IBM,125.4,51329,0,-2.11
0.6983,158.86,157.85,0.8306,160.25,AAPL,160.34,876399,2,-1.16
0.7429,277.24,275.3,1.048,280.57,MSFT,280.63,442262,4,0.64
0.7919,445.08,443.105,2.4323,455.25,NOC,456.2,8012,0,-10.23
0.8715,118.08,117.61,2.5767,119.03,EA,119.205,20721,1,0.0
0.4643,5.675,5.645,-0.692,5.74,SOFI,5.83,91710,2,-0.35
0.283,4.4,4.38,0.0,4.47,AMC,4.54,411928,1,0.31
1.0801,29.04,28.93,1.1368,29.36,INTC,29.81,130869,0,-2.05
0.6949,98.065,96.4,-0.5876,98.13,AMZN,98.295,587054,1,-0.83
0.7884,205.18,203.55,0.8469,206.01,META,207.574,512052,1,2.76
0.6231,191.65,187.15,-0.9416,190.41,TSLA,192.36,889291,4,-1.08
0.6651,104.99,103.84,-0.1515,105.44,GOOGL,105.49,159720,0,-3.23
1.3895,88.3,86.96,-0.8383,87.53,SONY,88.3,2082,0,0.0
0.8771,202.35,192.46,-4.2363,195.99,ENPH,203.55,37276,0,4.82
1.496,125.63,123.11,-1.5216,124.91,JPM,125.68,82377,1,0.12
