high,percentchange,relvolume,open,low,price,symbol,watchers,hourchange,sentiment
90.02,-1.4943,0.7198,89.9,89.5312,89.65,SONY,2087,0,0.0
106.1,-0.2387,0.6109,105.78,103.66,104.47,GOOGL,160105,-4,0.33
5.87,-2.5467,0.786,5.87,5.5801,5.74,SOFI,91868,-1,0.89
132.61,0.4103,0.4187,131.37,131.37,132.14,IBM,51366,1,0.0
32.985,-0.8157,0.7132,32.795,32.335,32.83,INTC,131189,0,-0.93
201.62,-4.3794,0.8384,200.0,187.73,193.67,ENPH,37380,1,0.91
103.91,-2.7417,0.5813,103.91,100.7506,101.1,AMZN,587863,2,-0.27
165.05,-1.129,0.6702,164.74,161.8,163.76,AAPL,877251,-1,-9.65
9.38,-10.5263,0.3189,9.38,8.39,8.5,CVNA,23332,1,-2.07
126.27,0.7266,0.7325,125.24,124.85,126.15,EA,20706,0,0.0
94.5,-3.4526,0.7872,94.35,91.36,92.56,AMD,456579,5,-1.91
473.6,0.6003,0.5536,467.22,467.22,470.91,NOC,8036,0,0.0
128.15,0.1491,0.609,126.8,126.46,127.61,JPM,82525,-1,0.4
4.09,3.5806,0.7224,4.07,3.94,4.05,AMC,412883,-7,-0.81
269.98,-2.0836,0.9568,268.29,263.95,268.81,NVDA,421050,-1,-4.0
287.145,-0.9889,0.5843,285.85,282.95,284.34,MSFT,442947,4,-4.68
215.19,-1.5089,0.5446,214.15,209.95,211.48,META,512546,-3,-3.86
190.68,-3.666,0.7518,190.515,183.76,185.52,TSLA,890603,3,-1.35
