relvolume,low,high,open,price,symbol,percentchange,watchers,hourchange,sentiment
0.5092,5.39,5.66,5.48,5.46,AMC,2.2472,413218,1,-3.14
0.8567,161.44,165.8,161.63,165.56,AAPL,3.4104,877749,11,3.98
0.6485,263.29,268.869,267.34,264.63,NVDA,-0.1208,421506,12,-2.84
0.8901,126.01,128.39,128.01,127.9,IBM,-0.4979,51363,0,6.57
0.3162,9.201,9.76,9.27,9.37,CVNA,1.4069,23333,-1,0.35
0.9312,98.73,102.56,98.95,102.4,AMZN,4.6714,588377,3,5.01
0.602,283.17,289.9,283.59,289.84,MSFT,2.2399,443350,6,0.76
0.7779,126.84,129.035,128.46,128.99,JPM,0.3813,82707,18,0.73
0.3826,469.78,476.065,472.0,474.16,NOC,0.294,8038,1,-8.57
0.5437,5.825,5.98,5.91,5.86,SOFI,0.6873,91912,0,1.34
0.474,31.65,32.4252,31.82,32.13,INTC,0.3435,131232,1,4.5
0.5101,105.9,107.49,105.84,107.43,GOOGL,2.6663,160358,-6,-0.58
0.4634,126.58,128.72,126.58,128.28,EA,1.7046,20703,0,6.67
0.6771,215.82,221.15,215.73,220.35,META,2.9673,512793,2,3.03
0.7734,90.0,90.83,90.1,90.49,SONY,1.174,2088,0,0.0
0.6485,180.94,186.5,182.955,185.9,TSLA,2.9689,891320,0,0.9
0.6105,91.83,93.16,92.79,92.09,AMD,-0.2599,456761,-1,1.56
0.9909,198.52,211.55,200.01,209.69,ENPH,6.9683,37419,3,-4.18
