symbol,relvolume,high,open,percentchange,price,low,watchers,hourchange,sentiment
EA,0.7325,126.27,125.24,0.7266,126.15,124.85,20706,0,10.71
AMZN,0.5813,103.91,103.91,-2.7417,101.1,100.7506,587878,0,-0.81
AAPL,0.6702,165.05,164.74,-1.129,163.76,161.8,877264,7,-9.03
AMD,0.7872,94.5,94.35,-3.4526,92.56,91.36,456580,2,-1.32
NOC,0.5536,473.6,467.22,0.6003,470.91,467.22,8036,0,0.0
CVNA,0.3189,9.38,9.38,-10.5263,8.5,8.39,23329,0,-1.79
NVDA,0.9568,269.98,268.29,-2.0836,268.81,263.95,421063,3,-3.49
META,0.5446,215.19,214.15,-1.5089,211.48,209.95,512554,2,-4.18
AMC,0.7224,4.09,4.07,3.5806,4.05,3.94,412899,7,-0.47
MSFT,0.5843,287.145,285.85,-0.9889,284.34,282.95,442952,3,-3.43
JPM,0.609,128.15,126.8,0.1491,127.61,126.46,82526,1,-2.03
TSLA,0.7518,190.68,190.515,-3.666,185.52,183.76,890624,0,-1.53
SONY,0.7198,90.02,89.9,-1.4943,89.65,89.5312,2087,0,0.0
IBM,0.4187,132.61,131.37,0.4103,132.14,131.37,51365,-1,0.0
SOFI,0.786,5.87,5.87,-2.5467,5.74,5.5801,91878,4,0.15
GOOGL,0.6109,106.1,105.78,-0.2387,104.47,103.66,160107,2,-0.01
INTC,0.7132,32.985,32.795,-0.8157,32.83,32.335,131191,2,-1.85
ENPH,0.8384,201.62,200.0,-4.3794,193.67,187.73,37385,4,0.2
