percentchange,symbol,low,high,relvolume,open,price,watchers,hourchange,sentiment
-0.7128,NOC,468.94,471.98,0.2306,470.55,470.78,8041,0,8.57
-1.3939,MSFT,283.69,288.48,0.4652,287.0,285.8,443391,2,0.4
0.7822,NVDA,262.2,268.83,0.6395,265.04,266.7,421572,5,-3.35
0.2904,META,217.56,222.11,0.547,217.88,220.99,512832,-3,-0.62
-0.8107,ENPH,204.67,214.57,0.5775,209.77,207.99,37424,-3,-7.15
-0.3973,TSLA,182.01,186.28,0.4829,183.95,185.1614,891409,8,-0.26
-0.3503,AAPL,163.83,166.32,0.5304,164.59,164.98,877847,4,2.09
7.1517,JPM,134.95,139.12,2.6807,135.15,138.215,82940,9,11.6
-0.3703,EA,127.45,128.53,0.2965,127.98,127.805,20706,0,16.67
-0.0782,IBM,127.31,129.84,0.4667,128.46,127.8,51369,-1,1.26
1.2985,GOOGL,106.88,108.86,0.4326,106.89,108.825,160401,7,-1.82
0.2687,AMZN,101.11,103.2013,0.5827,102.07,102.6752,588466,4,1.05
-0.5755,AMD,90.5,92.97,0.5007,91.82,91.56,456768,-1,-0.28
0.5194,SONY,90.412,91.44,0.5487,90.85,90.96,2088,0,0.0
-0.7937,INTC,31.69,32.235,0.3309,32.0,31.875,131237,2,-0.65
-3.4685,CVNA,8.68,9.798,0.2894,9.47,9.045,23332,-1,-0.93
0.1587,SOFI,5.77,6.03,0.546,5.99,5.8693,91914,0,0.07
-8.533,AMC,4.9,5.75,0.7292,5.74,4.9941,413226,0,-0.76
