symbol,percentchange,high,open,price,low,relvolume,watchers,hourchange,sentiment
AMC,0.0,4.54,4.4,4.47,4.38,0.283,411928,2,0.06
SOFI,-0.692,5.83,5.675,5.74,5.645,0.4643,91704,0,-0.3
INTC,1.1368,29.81,29.04,29.36,28.93,1.0801,130869,0,-2.08
META,0.8469,207.574,205.18,206.01,203.55,0.7884,512048,1,3.14
AMZN,-0.5876,98.295,98.065,98.13,96.4,0.6949,587048,4,-1.3
GOOGL,-0.1515,105.49,104.99,105.44,103.84,0.6651,159720,1,-3.23
TSLA,-0.9416,192.36,191.65,190.41,187.15,0.6231,889274,-5,-1.16
JPM,-1.5216,125.68,125.63,124.91,123.11,1.496,82371,0,0.57
NVDA,-1.5152,271.67,270.31,267.79,263.55,0.8619,420196,4,-1.07
SONY,-0.8383,88.3,88.3,87.53,86.96,1.3895,2082,0,0.0
MSFT,1.048,280.63,277.24,280.57,275.3,0.7429,442252,5,0.18
ENPH,-4.2363,203.55,202.35,195.99,192.46,0.8771,37275,-1,4.14
NOC,2.4323,456.2,445.08,455.25,443.105,0.7919,8012,-1,-10.23
AAPL,0.8306,160.34,158.86,160.25,157.85,0.6983,876400,4,-1.14
CVNA,-1.9162,8.47,8.18,8.19,7.95,0.2716,23417,-3,-0.7
AMD,-2.3235,99.52,99.18,97.95,96.74,1.0179,456181,-1,-2.55
IBM,1.5563,125.4,123.36,125.29,122.88,0.6283,51327,0,-2.69
EA,2.5767,119.205,118.08,119.03,117.61,0.8715,20720,0,0.0
