symbol,price,relvolume,high,low,open,percentchange,watchers,hourchange,sentiment
NOC,447.58,0.2879,452.4,446.65,450.22,-0.5334,8006,-1,-11.11
MSFT,277.36,0.5009,278.26,272.63,273.4,1.3076,442068,1,2.78
NVDA,270.676,0.9051,271.83,262.37,264.25,3.3154,419733,44,2.62
ENPH,207.65,0.4194,210.77,204.61,209.65,0.0096,37241,1,0.25
META,204.82,0.4231,204.99,201.84,202.5,1.3158,511857,5,2.79
TSLA,197.135,0.4413,200.66,195.34,199.3,-0.2252,889085,5,-0.57
AAPL,160.0925,0.4292,160.51,159.118,159.3,0.5101,876221,5,3.94
JPM,129.23,0.5921,130.655,128.84,130.56,-1.0111,82269,0,1.67
IBM,125.9248,0.2462,127.215,125.84,127.0,-0.5098,51324,-1,13.04
EA,114.15,0.4909,114.61,113.83,114.29,-0.6873,20726,-1,15.0
GOOGL,105.2733,0.5661,106.13,103.67,104.27,0.3367,159654,7,-4.38
AMZN,100.688,0.3506,100.87,99.35,100.45,0.0775,586906,1,1.67
AMD,99.4299,1.0614,99.7686,95.645,95.65,3.6484,456020,2,-1.46
SONY,88.1154,0.5774,88.91,87.8087,88.91,-1.4038,2081,0,0.0
INTC,28.695,0.3279,28.825,28.3301,28.48,0.8257,130859,0,-2.8
CVNA,8.99,1.4928,10.25,8.46,10.15,13.367,23480,10,9.86
SOFI,5.74,1.0224,6.03,5.66,5.79,3.0521,91646,3,3.12
AMC,4.55,0.6227,4.73,4.47,4.73,3.1746,411923,1,4.79
