percentchange,low,relvolume,price,high,symbol,open,watchers,hourchange,sentiment
1.0239,5.77,0.6398,5.92,6.03,SOFI,5.99,91903,-10,-0.49
-6.2271,4.9,0.9005,5.12,5.76,AMC,5.74,413217,-3,-0.28
-0.3692,90.5,0.5911,91.75,92.97,AMD,91.82,456765,-5,-0.81
1.1148,262.2,0.7461,267.58,268.83,NVDA,265.04,421586,2,-2.12
-1.2766,283.69,0.5743,286.14,288.48,MSFT,287.0,443394,2,-0.1
-0.3353,468.94,0.3372,472.57,473.09,NOC,470.55,8041,0,8.57
-4.2689,8.68,0.3345,8.97,9.798,CVNA,9.47,23330,0,-1.34
0.5174,217.56,0.6378,221.49,222.11,META,217.88,512836,1,-0.2
0.1876,127.31,0.6373,128.14,129.84,IBM,128.46,51370,1,-3.15
0.1074,101.11,0.7199,102.51,103.2013,AMZN,102.07,588467,1,0.2
7.551,134.95,3.0765,138.73,139.12,JPM,135.15,82922,-1,7.84
-0.2114,163.83,0.6406,165.21,166.32,AAPL,164.59,877848,-3,1.05
1.3404,106.88,0.566,108.87,108.935,GOOGL,106.89,160403,0,-2.01
-0.3196,127.45,0.4028,127.87,128.53,EA,127.98,20705,0,10.0
0.4089,90.412,0.8867,90.86,91.44,SONY,90.85,2088,0,0.0
-0.3767,204.67,0.6939,208.9,214.57,ENPH,209.77,37423,0,-3.47
-0.4841,182.01,0.5598,185.0,186.28,TSLA,183.95,891423,10,-0.09
-0.747,31.69,0.4201,31.89,32.235,INTC,32.0,131239,0,-1.9
