low,open,high,percentchange,relvolume,price,symbol,watchers,hourchange,sentiment
284.54,285.99,289.05,0.0277,0.4744,288.45,MSFT,443663,6,5.5
222.3,225.06,228.49,-1.5798,0.5032,224.27,ENPH,37473,0,-0.61
177.65,179.1,183.5,-2.0183,0.6315,180.59,TSLA,892183,18,-5.55
5.87,5.9,6.1,1.6722,0.4953,6.08,SOFI,91960,1,1.93
31.0828,31.1,31.52,-2.1363,0.4343,31.15,INTC,131285,0,1.89
8.3,8.6,8.84,-1.9318,0.2952,8.63,CVNA,23286,0,-1.34
90.73,91.0,91.12,-0.3724,0.5063,90.97,SONY,2089,0,0.0
4.92,4.95,5.17,0.9901,0.3154,5.1,AMC,413188,0,-0.1
165.54,165.8,168.16,0.6968,0.6395,167.63,AAPL,878202,6,5.71
272.32,273.61,280.0,0.9542,0.6812,279.31,NVDA,421933,3,5.34
476.24,480.46,482.74,-0.5006,0.4242,477.07,NOC,8043,0,3.33
101.39,101.58,105.12,1.955,0.8364,104.3,AMZN,588753,0,2.42
88.22,88.51,90.54,0.1782,0.5543,89.94,AMD,456906,0,-0.08
103.07,103.58,104.98,-0.3062,0.4564,104.18,GOOGL,160564,1,0.04
125.3,126.5,126.98,-1.1426,0.9493,126.32,IBM,51454,0,-3.05
212.94,213.472,217.33,-1.0051,0.4728,215.7,META,512961,5,3.71
128.075,128.58,128.9,-0.6665,0.3668,128.18,EA,20704,0,10.0
140.41,141.23,141.5,-0.1273,0.5763,141.22,JPM,82988,2,0.49
