high,price,relvolume,symbol,low,open,percentchange,watchers,hourchange,sentiment
126.27,126.15,0.7325,EA,124.85,125.24,0.7266,20706,0,10.71
103.91,101.1,0.5813,AMZN,100.7506,103.91,-2.7417,587878,0,-0.81
165.05,163.76,0.6702,AAPL,161.8,164.74,-1.129,877264,7,-9.03
94.5,92.56,0.7872,AMD,91.36,94.35,-3.4526,456580,2,-1.32
473.6,470.91,0.5536,NOC,467.22,467.22,0.6003,8036,0,0.0
9.38,8.5,0.3189,CVNA,8.39,9.38,-10.5263,23329,0,-1.79
269.98,268.81,0.9568,NVDA,263.95,268.29,-2.0836,421063,3,-3.49
215.19,211.48,0.5446,META,209.95,214.15,-1.5089,512554,2,-4.18
4.09,4.05,0.7224,AMC,3.94,4.07,3.5806,412899,7,-0.47
287.145,284.34,0.5843,MSFT,282.95,285.85,-0.9889,442952,3,-3.43
128.15,127.61,0.609,JPM,126.46,126.8,0.1491,82526,1,-2.03
190.68,185.52,0.7518,TSLA,183.76,190.515,-3.666,890624,0,-1.53
90.02,89.65,0.7198,SONY,89.5312,89.9,-1.4943,2087,0,0.0
132.61,132.14,0.4187,IBM,131.37,131.37,0.4103,51365,-1,0.0
5.87,5.74,0.786,SOFI,5.5801,5.87,-2.5467,91878,4,0.15
106.1,104.47,0.6109,GOOGL,103.66,105.78,-0.2387,160107,2,-0.01
32.985,32.83,0.7132,INTC,32.335,32.795,-0.8157,131191,2,-1.85
201.62,193.67,0.8384,ENPH,187.73,200.0,-4.3794,37385,4,0.2
