open,price,percentchange,low,high,symbol,relvolume,watchers,hourchange,sentiment
467.43,474.47,1.324,466.03,474.58,NOC,0.2827,8038,-1,0.0
284.79,286.555,1.317,281.96,287.01,MSFT,0.5097,443288,5,-1.4
273.7,268.8,-1.0637,265.17,274.63,NVDA,0.6422,421415,3,4.54
214.835,216.415,1.1994,212.584,216.84,META,0.4011,512748,-4,-1.46
199.9,200.1,1.6355,196.78,201.26,ENPH,0.3151,37404,0,1.84
190.74,183.0,-2.029,181.87,191.58,TSLA,0.6784,891202,-3,0.82
161.22,161.611,0.5044,160.265,162.06,AAPL,0.4544,877675,0,1.49
130.4,129.725,-0.5329,129.1177,130.87,IBM,0.357,51367,-2,-1.59
129.18,129.489,0.754,128.0603,130.43,JPM,0.4661,82616,-5,4.11
126.28,127.13,1.1537,125.82,127.1812,EA,0.2432,20701,-1,-29.17
106.58,105.22,-0.1234,104.38,106.75,GOOGL,0.355,160344,0,-0.37
100.4,99.115,-0.8056,98.41,100.51,AMZN,0.5601,588243,0,-2.57
94.97,93.16,-0.9252,91.74,94.995,AMD,0.6431,456742,1,5.31
90.0,89.9107,1.1255,89.37,90.4,SONY,0.2727,2089,0,0.0
32.77,32.195,-0.4791,31.96,32.89,INTC,0.3741,131237,0,-3.12
9.79,9.34,-4.3033,8.79,10.32,CVNA,0.4825,23331,0,7.45
6.06,5.9,-1.1725,5.67,6.05,SOFI,0.7805,91920,2,1.13
5.62,5.67,4.4199,5.51,5.74,AMC,0.5769,413215,8,1.13
