low,open,relvolume,symbol,percentchange,price,high,watchers,hourchange,sentiment
469.48,476.12,0.3384,NOC,-1.3997,469.87,476.01,8039,0,5.0
281.64,285.75,0.6389,MSFT,-1.8124,284.145,285.87,443211,6,-2.33
271.26,277.235,0.4749,NVDA,-0.8031,273.575,277.89,421353,0,0.04
213.83,215.48,0.3962,META,-0.0186,214.71,216.02,512715,-2,-1.26
193.14,195.9,0.2827,ENPH,0.8223,197.41,199.04,37410,0,-0.72
185.65,186.69,0.5827,TSLA,1.9023,188.02,189.19,891114,0,0.22
160.51,162.35,0.4858,AAPL,-0.2592,161.61,162.36,877573,1,-4.38
130.18,130.58,0.3417,IBM,0.0076,131.04,131.095,51364,0,-1.19
127.54,128.3,0.5135,JPM,0.6099,128.67,128.93,82602,0,-0.76
124.74,125.13,0.3327,EA,0.2786,125.97,126.25,20704,0,-1.14
104.68,106.55,0.4834,GOOGL,-0.3006,106.12,106.73,160313,2,0.08
99.01,100.8,0.6897,AMZN,-1.752,100.38,100.99,588154,0,-5.74
92.7,96.06,0.6796,AMD,-1.1573,94.375,96.065,456714,2,4.15
88.98,89.24,0.3636,SONY,0.7287,89.155,89.48,2089,0,0.0
32.45,32.66,0.361,INTC,0.0154,32.525,33.11,131223,2,-8.82
9.6,9.79,0.7081,CVNA,5.8002,9.85,10.8485,23332,0,13.79
5.86,5.91,0.5222,SOFI,0.9306,5.965,6.0095,91914,-2,2.52
5.25,5.45,0.789,AMC,5.916,5.55,5.63,413156,1,4.16
