percentchange,high,open,price,symbol,relvolume,low,watchers,hourchange,sentiment
1.2399,452.2,445.27,449.1,NOC,0.2433,445.36,8002,0,9.09
-2.95,277.48,276.98,271.1868,MSFT,0.9245,269.85,441926,12,0.03
0.7347,260.24,256.15,259.14,NVDA,0.6419,251.3,419413,7,1.25
0.6799,199.36,198.48,196.94,META,0.542,193.64,511735,-1,0.4
4.5279,196.88,189.59,191.955,ENPH,0.9415,185.2,37207,3,0.71
1.4406,186.44,178.08,182.725,TSLA,0.5761,176.35,888853,2,-0.56
1.6129,157.765,155.07,157.5,AAPL,0.6326,154.15,876008,3,-1.19
0.5564,129.46,126.99,126.51,JPM,1.2917,126.01,82200,8,0.53
1.1763,125.9115,124.31,125.145,IBM,0.4854,124.19,51324,1,1.67
0.2558,114.28,113.01,113.64,EA,0.2853,113.01,20730,0,0.0
-0.5412,101.75,100.12,101.07,GOOGL,0.546,99.88,159571,-3,-0.26
-2.0768,98.48,98.41,96.895,AMZN,0.628,95.7,586752,5,0.76
-2.4033,96.79,96.3,95.4886,AMD,1.1728,92.9,455935,3,-0.75
2.3174,89.16,87.52,88.525,SONY,0.8562,87.33,2079,0,0.0
-2.424,29.9,29.8,29.0874,INTC,0.5106,28.63,130822,0,-0.38
-8.8889,7.81,7.43,6.97,CVNA,0.2495,6.95,23282,0,-1.89
-3.5714,5.54,5.47,5.265,SOFI,0.5943,5.25,91584,0,1.07
2.6292,4.38,4.25,4.2899,AMC,0.3466,4.14,411738,-8,-0.63
