relvolume,price,high,low,open,symbol,percentchange,watchers,hourchange,sentiment
0.4493,128.08,128.42,127.14,127.37,EA,0.1642,20704,-2,-10.0
0.5878,270.02,270.06,264.36,265.655,NVDA,0.9119,421747,7,-1.17
0.273,9.06,9.2192,8.68,8.91,CVNA,1.0033,23312,0,-1.03
0.3666,5.2,5.3,5.1301,5.24,AMC,1.5625,413211,-2,-1.77
0.7217,89.87,90.69,88.3,90.23,AMD,-2.049,456852,0,-2.94
0.6655,5.96,6.0,5.81,5.89,SOFI,0.6757,91921,1,0.21
0.4402,218.86,220.979,217.13,219.79,META,-1.1874,512927,3,0.34
1.0164,139.83,140.06,137.66,139.95,JPM,0.7929,82978,2,0.54
0.5412,165.23,165.39,164.03,165.09,AAPL,0.0121,878015,0,2.83
0.5124,127.82,128.72,126.8,128.3,IBM,-0.2497,51377,-1,-5.04
0.6825,187.04,189.69,182.7,186.32,TSLA,1.1027,891682,8,0.44
0.4391,474.79,477.68,471.38,472.99,NOC,0.4698,8041,0,6.35
0.816,105.97,106.155,104.52,104.658,GOOGL,-2.6637,160537,0,-11.86
0.5168,32.14,32.64,31.77,31.95,INTC,0.7839,131274,0,4.28
0.9083,91.15,91.23,90.35,90.55,SONY,0.3192,2088,0,0.0
0.6118,288.8,291.58,286.2,289.93,MSFT,0.9296,443563,4,2.73
1.7249,224.92,229.23,214.7801,215.0,ENPH,7.6687,37481,4,3.52
0.5299,102.74,103.73,101.59,103.16,AMZN,0.2244,588622,3,0.14
