open,high,price,low,relvolume,symbol,percentchange,watchers,hourchange,sentiment
126.58,128.72,128.28,126.58,0.4634,EA,1.7046,20702,0,6.67
283.59,289.9,289.84,283.17,0.602,MSFT,2.2399,443359,0,1.54
128.46,129.035,128.99,126.84,0.7779,JPM,0.3813,82735,7,7.91
472.0,476.065,474.16,469.78,0.3826,NOC,0.294,8040,0,-16.67
9.27,9.76,9.37,9.201,0.3162,CVNA,1.4069,23339,0,1.08
5.91,5.98,5.86,5.825,0.5437,SOFI,0.6873,91911,-3,1.79
31.82,32.4252,32.13,31.65,0.474,INTC,0.3435,131236,0,4.86
105.84,107.49,107.43,105.9,0.5101,GOOGL,2.6663,160363,0,-1.88
90.1,90.83,90.49,90.0,0.7734,SONY,1.174,2088,0,0.0
182.955,186.5,185.9,180.94,0.6485,TSLA,2.9689,891332,8,1.33
215.73,221.15,220.35,215.82,0.6771,META,2.9673,512810,2,2.29
92.79,93.16,92.09,91.83,0.6105,AMD,-0.2599,456771,2,0.69
200.01,211.55,209.69,198.52,0.9909,ENPH,6.9683,37427,0,-4.67
267.34,268.869,264.63,263.29,0.6485,NVDA,-0.1208,421522,4,-2.93
5.48,5.66,5.46,5.39,0.5092,AMC,2.2472,413226,1,-2.8
161.63,165.8,165.56,161.44,0.8567,AAPL,3.4104,877769,3,4.53
128.01,128.39,127.9,126.01,0.8901,IBM,-0.4979,51369,1,7.6
98.95,102.56,102.4,98.73,0.9312,AMZN,4.6714,588391,-1,4.3
