low,high,relvolume,price,open,symbol,percentchange,watchers,hourchange,sentiment
457.495,462.27,0.2474,459.24,459.38,NOC,0.0523,8021,0,25.0
278.41,280.65,0.4474,279.75,278.96,MSFT,1.6423,442530,0,-1.71
265.97,270.6697,0.565,269.4,268.25,NVDA,2.0068,420470,0,-1.37
202.54,205.37,0.3947,205.29,203.56,META,2.2972,512243,1,0.12
191.385,205.77,0.6119,205.1912,196.75,ENPH,6.031,37308,1,-0.62
189.44,195.28,0.5862,192.51,193.13,TSLA,1.7548,889638,9,0.48
159.35,160.51,0.4757,160.45,159.37,AAPL,1.7761,876718,11,-0.3
129.18,130.348,0.3391,129.7,130.12,IBM,0.2783,51343,-1,0.76
128.72,130.22,0.5822,129.3,130.1,JPM,0.3259,82460,1,-0.93
118.08,119.19,0.2606,119.1608,118.08,EA,0.9666,20708,-1,0.0
100.655,102.43,0.4826,101.35,102.28,GOOGL,0.3167,159836,0,4.31
98.5801,100.29,0.5052,100.185,98.69,AMZN,3.0286,587352,2,1.22
94.87,96.91,0.6713,96.02,96.07,AMD,1.544,456332,0,-0.21
86.74,87.79,0.774,87.775,86.93,SONY,2.278,2084,0,0.0
29.789,31.55,1.2031,31.535,29.77,INTC,7.6647,130911,8,7.05
7.37,7.78,0.1811,7.745,7.47,CVNA,5.231,23365,1,-7.63
5.65,5.9199,0.5638,5.835,5.69,SOFI,4.3828,91762,2,-1.08
4.83,5.2084,0.6876,4.9744,5.14,AMC,-3.4097,412480,-5,-0.59
