open,high,symbol,relvolume,percentchange,low,price,watchers,hourchange,sentiment
100.26,102.835,GOOGL,1.2376,1.2959,100.1,101.62,159516,0,1.29
29.92,30.56,INTC,1.0943,-1.226,29.44,29.81,130795,1,-4.15
87.25,87.47,SONY,1.0052,0.1505,86.18,86.52,2077,0,33.33
156.08,156.74,AAPL,0.9896,-0.5454,154.28,155.0,875807,3,4.79
259.82,263.99,NVDA,1.3828,0.7204,256.68,257.25,419189,1,2.84
200.7,200.7,ENPH,1.684,-8.6822,181.55,183.64,37117,4,-3.02
7.21,7.9,CVNA,0.4207,3.2389,7.02,7.65,23308,0,0.37
96.66,98.75,AMD,1.4973,1.2836,95.94,97.84,455823,2,-0.53
184.515,186.21,TSLA,0.6722,-2.1724,177.33,180.13,888626,0,1.2
124.08,124.52,IBM,2.0994,-0.8099,122.93,123.69,51324,1,1.4
278.26,283.33,MSFT,1.7577,1.1694,276.3201,279.43,441744,0,-1.37
128.38,128.45,JPM,2.2173,-3.7782,125.46,125.81,82038,3,4.4
200.56,201.9,META,1.116,-4.5479,195.4304,195.61,511611,2,-1.09
449.81,450.16,NOC,0.8804,-1.4551,441.305,443.6,7998,1,3.41
99.79,100.65,AMZN,0.8764,-1.0896,97.455,98.95,586552,3,2.43
5.47,5.54,SOFI,0.6642,0.1835,5.33,5.46,91542,-2,5.23
113.65,114.0,EA,0.7406,-0.1585,112.98,113.35,20735,0,-25.0
4.3,4.34,AMC,0.6185,-4.7836,4.1078,4.18,411722,-11,-0.12
