relvolume,percentchange,symbol,high,open,low,price,watchers,hourchange,sentiment
0.31,0.872,NOC,459.96,459.09,455.23,459.22,8013,0,2.78
0.5993,-1.2831,MSFT,281.4589,280.5,275.52,276.97,442425,0,0.4
0.6237,-0.7095,NVDA,269.94,268.37,263.6501,265.89,420365,0,-0.86
0.4363,-1.4514,META,205.86,204.81,201.37,203.02,512179,-3,-0.27
0.5248,0.4541,ENPH,200.21,199.36,191.61,196.88,37293,0,0.25
0.6064,1.4364,TSLA,197.39,194.415,189.94,193.145,889469,1,-0.5
0.5313,-0.8237,AAPL,160.77,159.94,157.87,158.93,876589,4,-0.17
0.8419,3.7313,IBM,130.255,126.47,126.47,129.965,51336,1,2.93
1.0759,3.4505,JPM,129.38,126.79,126.29,129.22,82430,1,-3.69
0.4451,0.0336,EA,119.4,118.9,118.14,119.07,20717,-1,0.0
0.5717,-2.1956,GOOGL,104.76,104.615,101.9273,103.125,159787,3,-0.63
0.5296,0.3669,AMZN,99.335,99.07,97.08,98.49,587195,2,-1.0
0.8105,-0.8065,AMD,98.93,98.02,95.425,97.16,456272,1,-1.67
0.8749,-0.8683,SONY,87.38,87.12,86.33,86.77,2080,-1,0.0
0.5191,0.1873,INTC,29.73,29.37,29.08,29.415,130885,-3,0.25
0.2309,-5.0672,CVNA,8.3686,8.35,7.57,7.775,23419,-3,-0.54
0.5032,1.3937,SOFI,5.88,5.82,5.73,5.82,91735,0,0.01
0.4555,1.0067,AMC,4.53,4.51,4.3,4.515,411966,-2,-0.26
