symbol,low,price,high,percentchange,relvolume,open,watchers,hourchange,sentiment
TSLA,180.31,180.54,191.58,-3.346,0.8639,190.74,891227,6,-0.51
JPM,128.0603,128.5,130.43,-0.0156,0.66,129.18,82624,4,-2.61
NVDA,264.4786,264.95,274.63,-2.4808,0.8408,273.7,421444,11,-0.08
META,212.584,214.0,216.84,0.0701,0.5478,214.835,512766,4,-1.62
ENPH,195.81,196.03,201.26,-0.4317,0.4414,199.9,37410,1,2.18
AMZN,97.705,97.83,100.51,-2.0917,0.7773,100.4,588273,5,-0.7
GOOGL,104.34,104.64,106.75,-0.6739,0.5099,106.58,160344,1,0.05
INTC,31.96,32.02,32.89,-1.0201,0.5877,32.77,131233,0,-6.94
IBM,128.18,128.54,130.87,-1.4415,0.6074,130.4,51369,1,-2.42
NOC,466.03,472.77,474.7299,0.961,0.4255,467.43,8038,0,3.33
SOFI,5.67,5.82,6.05,-2.5126,0.9555,6.06,91916,-1,-0.54
MSFT,281.96,283.49,287.01,0.2334,0.7301,284.79,443296,-1,-1.09
EA,125.82,126.13,127.1812,0.3581,0.4105,126.28,20703,1,-16.67
CVNA,8.79,9.24,10.32,-5.3279,0.5844,9.79,23329,0,6.11
AMD,91.74,92.33,94.995,-1.8079,0.8136,94.97,456747,-3,5.51
AAPL,159.78,160.1,162.06,-0.4353,0.6508,161.22,877684,0,0.56
AMC,5.34,5.34,5.74,-1.6575,0.827,5.62,413218,0,0.29
SONY,89.29,89.44,90.4,0.5961,0.4882,90.0,2089,0,0.0
