open,price,percentchange,relvolume,high,low,symbol,watchers,hourchange,sentiment
468.73,469.11,-0.0171,0.2847,471.7399,465.19,NOC,8034,0,0.0
287.23,286.9,-0.1149,0.5409,290.4499,286.33,MSFT,442888,2,0.6
279.66,275.43,-1.509,0.555,280.0,274.89,NVDA,420921,10,2.45
213.39,213.885,0.3825,0.4827,216.24,212.54,META,512512,15,5.5
202.89,202.3,-0.1481,0.3646,203.2,198.65,ENPH,37367,0,0.85
197.32,191.5509,-1.6528,0.6133,198.7446,190.6,TSLA,890479,15,1.04
166.595,165.78,-0.2347,0.4331,166.83,165.418,AAPL,877179,7,2.74
131.99,131.09,-0.7345,0.3628,132.13,130.9,IBM,51355,0,0.0
130.5,127.9613,-1.6892,0.5547,130.57,127.41,JPM,82528,1,3.09
121.43,125.055,3.0532,0.8443,125.47,121.23,EA,20707,0,0.0
104.33,104.505,0.1389,0.4141,105.58,104.04,GOOGL,160040,0,4.33
102.75,103.7969,1.3543,0.4613,103.885,102.11,AMZN,587774,10,1.89
97.038,95.96,-0.6214,0.5084,97.27,95.73,AMD,456534,10,-1.22
90.78,90.93,-0.438,0.5991,91.145,90.36,SONY,2087,0,0.0
32.85,33.11,0.6689,0.8527,33.84,32.91,INTC,131179,0,3.08
9.44,9.565,2.9602,0.2849,9.72,8.93,CVNA,23344,-1,-3.89
6.1,5.885,-2.4046,0.3702,6.095,5.835,SOFI,91855,3,-0.78
4.08,3.905,-23.5812,2.1368,4.45,3.9,AMC,412828,10,-3.84
