low,price,open,relvolume,symbol,high,percentchange,watchers,hourchange,sentiment
469.48,471.955,476.12,0.2785,NOC,476.01,-0.9621,8039,0,5.0
281.64,283.31,285.75,0.5894,MSFT,285.87,-2.101,443205,8,-2.49
271.26,273.74,277.235,0.4307,NVDA,277.89,-0.7433,421353,7,1.23
213.83,214.8,215.48,0.3544,META,216.02,0.0233,512717,0,-1.22
193.14,198.4101,195.9,0.2493,ENPH,199.04,1.333,37410,1,-1.15
185.65,188.14,186.69,0.5334,TSLA,189.19,1.9674,891114,6,0.41
160.51,161.69,162.35,0.4374,AAPL,162.36,-0.2098,877572,6,-4.79
130.18,130.998,130.58,0.3085,IBM,130.9994,-0.0244,51364,0,-1.52
127.54,128.49,128.3,0.4714,JPM,128.93,0.4692,82602,0,-2.99
124.74,126.095,125.13,0.3015,EA,126.25,0.3781,20704,0,-1.14
104.68,105.765,106.55,0.4376,GOOGL,106.73,-0.6342,160311,-2,0.08
99.01,100.01,100.8,0.6319,AMZN,100.99,-2.1141,588154,3,-5.98
92.7,94.145,96.06,0.6152,AMD,96.065,-1.3982,456712,5,5.54
88.98,89.31,89.24,0.2952,SONY,89.48,0.9039,2089,0,0.0
32.45,32.495,32.66,0.3229,INTC,33.11,-0.0769,131221,0,-6.93
9.6,9.71,9.79,0.6747,CVNA,10.8485,4.2965,23332,3,15.56
5.86,5.925,5.91,0.4742,SOFI,6.0095,0.2538,91916,-4,2.15
5.25,5.59,5.45,0.7204,AMC,5.63,6.6794,413155,-1,3.86
