percentchange,symbol,open,high,relvolume,price,low,watchers,hourchange,sentiment
-0.6,AMC,5.11,5.16,0.5325,4.97,4.865,412468,-3,0.69
0.989,AAPL,161.53,162.47,0.5827,162.36,161.271,876774,1,4.72
1.262,MSFT,284.23,284.46,0.6427,284.05,281.5,442606,1,-0.14
1.2126,META,203.38,208.09,0.6432,207.84,202.85,512303,-3,5.8
0.6472,ENPH,209.435,214.19,0.6629,205.27,203.96,37321,1,-2.39
-0.302,JPM,129.95,130.12,0.7826,128.75,127.65,82477,0,1.48
-0.4931,GOOGL,100.91,101.155,0.6807,100.89,99.78,159894,0,2.76
-0.5217,SOFI,5.87,5.93,0.6344,5.72,5.62,91771,1,-1.7
1.8084,INTC,31.85,32.58,1.4198,32.09,31.81,131059,0,3.85
1.7456,AMZN,101.55,103.04,0.6777,102.0,101.01,587428,0,2.88
1.8628,AMD,98.0,99.53,0.8812,97.88,97.25,456364,0,-2.46
-0.1278,NOC,460.46,462.92,0.3938,460.98,458.5,8023,0,0.0
-0.3778,IBM,130.16,131.48,0.5487,129.22,129.1,51343,0,6.76
-0.0755,EA,120.0,120.05,0.5217,119.1,118.85,20710,0,5.56
12.1982,CVNA,8.08,9.0,0.5721,8.83,8.0748,23362,0,-4.44
0.7221,TSLA,195.58,197.328,0.6092,195.28,194.42,889764,9,4.2
1.4787,NVDA,272.29,274.99,0.6652,273.83,271.02,420573,0,2.08
1.6388,SONY,88.7,89.53,1.4544,89.31,88.555,2082,0,0.0
