relvolume,percentchange,open,price,low,symbol,high,watchers,hourchange,sentiment
0.4634,1.7046,126.58,128.28,126.58,EA,128.72,20702,0,6.67
0.602,2.2399,283.59,289.84,283.17,MSFT,289.9,443359,4,1.77
0.7779,0.3813,128.46,128.99,126.84,JPM,129.035,82728,-3,6.94
0.3826,0.294,472.0,474.16,469.78,NOC,476.065,8040,1,-16.67
0.3162,1.4069,9.27,9.37,9.201,CVNA,9.76,23339,0,2.02
0.5437,0.6873,5.91,5.86,5.825,SOFI,5.98,91914,2,1.7
0.474,0.3435,31.82,32.13,31.65,INTC,32.4252,131236,4,6.29
0.5101,2.6663,105.84,107.43,105.9,GOOGL,107.49,160363,1,-1.35
0.7734,1.174,90.1,90.49,90.0,SONY,90.83,2088,0,0.0
0.6485,2.9689,182.955,185.9,180.94,TSLA,186.5,891324,5,1.21
0.6771,2.9673,215.73,220.35,215.82,META,221.15,512808,8,2.53
0.6105,-0.2599,92.79,92.09,91.83,AMD,93.16,456769,6,0.89
0.9909,6.9683,200.01,209.69,198.52,ENPH,211.55,37427,2,-4.96
0.6485,-0.1208,267.34,264.63,263.29,NVDA,268.869,421518,3,-2.85
0.5092,2.2472,5.48,5.46,5.39,AMC,5.66,413225,3,-2.85
0.8567,3.4104,161.63,165.56,161.44,AAPL,165.8,877766,8,4.7
0.8901,-0.4979,128.01,127.9,126.01,IBM,128.39,51368,2,6.94
0.9312,4.6714,98.95,102.4,98.73,AMZN,102.56,588392,10,4.78
