percentchange,price,open,low,high,symbol,relvolume,watchers,hourchange,sentiment
0.4089,90.86,90.85,90.412,91.44,SONY,0.8867,2088,0,0.0
-0.3196,127.87,127.98,127.45,128.53,EA,0.4028,20705,0,10.0
-0.3767,208.9,209.77,204.67,214.57,ENPH,0.6939,37423,0,-3.47
-0.4841,185.0,183.95,182.01,186.28,TSLA,0.5598,891423,10,-0.09
-0.747,31.89,32.0,31.69,32.235,INTC,0.4201,131239,0,-1.9
1.0239,5.92,5.99,5.77,6.03,SOFI,0.6398,91903,-10,-0.49
-6.2271,5.12,5.74,4.9,5.76,AMC,0.9005,413217,-3,-0.28
-0.3692,91.75,91.82,90.5,92.97,AMD,0.5911,456765,-5,-0.81
-1.2766,286.14,287.0,283.69,288.48,MSFT,0.5743,443394,2,-0.1
1.1148,267.58,265.04,262.2,268.83,NVDA,0.7461,421586,2,-2.12
-0.3353,472.57,470.55,468.94,473.09,NOC,0.3372,8041,0,8.57
0.5174,221.49,217.88,217.56,222.11,META,0.6378,512836,1,-0.2
-4.2689,8.97,9.47,8.68,9.798,CVNA,0.3345,23330,0,-1.34
0.1876,128.14,128.46,127.31,129.84,IBM,0.6373,51370,1,-3.15
0.1074,102.51,102.07,101.11,103.2013,AMZN,0.7199,588467,1,0.2
7.551,138.73,135.15,134.95,139.12,JPM,3.0765,82922,-1,7.84
-0.2114,165.21,164.59,163.83,166.32,AAPL,0.6406,877848,-3,1.05
1.3404,108.87,106.89,106.88,108.935,GOOGL,0.566,160403,0,-2.01
