relvolume,open,high,low,price,percentchange,symbol,watchers,hourchange,sentiment
0.7406,113.65,114.0,112.98,113.35,-0.1585,EA,20735,-1,-25.0
0.6185,4.3,4.34,4.1078,4.18,-4.7836,AMC,411730,-3,0.05
0.6642,5.47,5.54,5.33,5.46,0.1835,SOFI,91547,3,5.25
0.8804,449.81,450.16,441.305,443.6,-1.4551,NOC,7997,0,3.41
0.8764,99.79,100.65,97.455,98.95,-1.0896,AMZN,586543,2,2.66
1.2376,100.26,102.835,100.1,101.62,1.2959,GOOGL,159514,6,2.07
1.0943,29.92,30.56,29.44,29.81,-1.226,INTC,130791,1,-3.77
0.9896,156.08,156.74,154.28,155.0,-0.5454,AAPL,875799,8,4.9
1.684,200.7,200.7,181.55,183.64,-8.6822,ENPH,37109,14,-3.31
1.0052,87.25,87.445,86.19,86.52,0.1505,SONY,2077,0,33.33
1.3828,259.82,263.99,256.68,257.25,0.7204,NVDA,419179,7,2.88
0.4207,7.21,7.9,7.02,7.65,3.2389,CVNA,23308,1,1.08
2.0994,124.08,124.52,122.93,123.69,-0.8099,IBM,51322,0,1.4
0.6722,184.515,186.21,177.33,180.13,-2.1724,TSLA,888621,6,2.24
1.4973,96.66,98.75,95.94,97.84,1.2836,AMD,455820,6,0.63
2.2173,128.38,128.48,125.45,125.81,-3.7782,JPM,82032,5,4.47
1.7577,278.26,283.33,276.3201,279.43,1.1694,MSFT,441736,7,-1.31
1.116,200.56,201.9,195.4304,195.61,-4.5479,META,511607,3,-0.68
