price,percentchange,symbol,open,low,high,relvolume,watchers,hourchange,sentiment
283.49,0.2334,MSFT,284.79,281.96,287.01,0.7301,443296,0,-1.71
126.13,0.3581,EA,126.28,125.82,127.1812,0.4105,20703,0,-16.67
160.1,-0.4353,AAPL,161.22,159.78,162.06,0.6508,877688,4,0.58
92.33,-1.8079,AMD,94.97,91.74,94.995,0.8136,456745,-2,5.58
5.34,-1.6575,AMC,5.62,5.34,5.74,0.827,413218,0,0.01
9.24,-5.3279,CVNA,9.79,8.79,10.32,0.5844,23329,0,5.67
89.44,0.5961,SONY,90.0,89.29,90.4,0.4882,2089,0,0.0
128.5,-0.0156,JPM,129.18,128.0603,130.43,0.66,82625,1,-3.21
180.54,-3.346,TSLA,190.74,180.31,191.58,0.8639,891235,8,-0.46
214.0,0.0701,META,214.835,212.584,216.84,0.5478,512769,3,-1.85
264.95,-2.4808,NVDA,273.7,264.4786,274.63,0.8408,421444,0,-0.32
97.83,-2.0917,AMZN,100.4,97.705,100.51,0.7773,588275,2,-0.12
196.03,-0.4317,ENPH,199.9,195.81,201.26,0.4414,37410,0,2.29
104.64,-0.6739,GOOGL,106.58,104.34,106.75,0.5099,160346,2,0.16
32.02,-1.0201,INTC,32.77,31.96,32.89,0.5877,131233,0,-7.09
128.54,-1.4415,IBM,130.4,128.18,130.87,0.6074,51369,0,-2.42
472.77,0.961,NOC,467.43,466.03,474.7299,0.4255,8038,0,3.33
5.82,-2.5126,SOFI,6.06,5.67,6.05,0.9555,91916,0,-0.34
