price,open,low,symbol,percentchange,relvolume,high,watchers,hourchange,sentiment
208.9,209.77,204.67,ENPH,-0.3767,0.6939,214.57,37426,4,-3.37
127.87,127.98,127.45,EA,-0.3196,0.4028,128.53,20705,0,0.0
90.86,90.85,90.412,SONY,0.4089,0.8867,91.46,2088,0,0.0
185.0,183.95,182.01,TSLA,-0.4841,0.5598,186.28,891435,9,0.43
31.89,32.0,31.69,INTC,-0.747,0.4201,32.235,131241,0,-1.3
5.12,5.74,4.9,AMC,-6.2271,0.9005,5.75,413215,1,-0.66
5.92,5.99,5.77,SOFI,1.0239,0.6398,6.03,91900,1,-0.83
472.57,470.55,468.765,NOC,-0.3353,0.3372,473.09,8040,0,0.0
267.58,265.04,262.2,NVDA,1.1148,0.7461,268.83,421602,5,-0.7
286.14,287.0,283.69,MSFT,-1.2766,0.5743,288.48,443403,0,-0.17
8.97,9.47,8.68,CVNA,-4.2689,0.3345,9.798,23325,0,-2.58
91.75,91.82,90.5,AMD,-0.3692,0.5911,92.97,456769,0,0.36
102.51,102.07,101.11,AMZN,0.1074,0.7199,103.2013,588478,5,0.97
221.49,217.88,217.56,META,0.5174,0.6378,222.11,512854,0,1.21
128.14,128.46,127.31,IBM,0.1876,0.6373,129.84,51370,0,-6.55
108.87,106.89,106.88,GOOGL,1.3404,0.566,108.935,160402,0,-0.3
165.21,164.59,163.83,AAPL,-0.2114,0.6406,166.32,877859,4,1.16
138.73,135.15,134.9001,JPM,7.551,3.0765,139.12,82936,0,4.64
