high,percentchange,low,symbol,price,relvolume,open,watchers,hourchange,sentiment
33.84,0.6385,32.85,INTC,33.1,1.059,32.85,131182,0,2.99
130.59,-1.3368,127.41,JPM,128.42,0.702,130.5,82527,-2,5.61
104.2,1.5038,102.11,AMZN,103.95,0.6103,102.75,587783,7,2.17
166.83,-0.325,165.11,AAPL,165.63,0.5431,166.595,877173,-8,2.24
290.4499,-0.0174,285.67,MSFT,287.18,0.6652,287.23,442890,0,1.2
280.0,-1.8309,273.08,NVDA,274.53,0.686,279.66,420931,6,1.79
471.94,-0.2323,465.0,NOC,468.1,0.3915,468.73,8033,0,0.0
105.58,0.345,104.04,GOOGL,104.72,0.5141,104.33,160041,1,4.12
4.45,-23.4834,3.88,AMC,3.91,2.4701,4.08,412830,-3,-5.44
125.47,3.2056,121.23,EA,125.24,1.0756,121.43,20707,0,0.0
9.72,2.2605,8.93,CVNA,9.5,0.3434,9.44,23345,1,-1.79
216.24,0.7744,212.54,META,214.72,0.5769,213.39,512513,0,5.69
198.7446,-1.1244,190.32,TSLA,192.58,0.711,197.32,890496,10,0.83
132.1499,-0.3483,130.89,IBM,131.6,0.5043,131.99,51356,1,0.0
203.2,-0.0296,198.65,ENPH,202.54,0.4624,202.89,37369,2,0.34
91.145,-0.3504,90.36,SONY,91.01,0.9783,90.78,2087,0,0.0
97.27,-0.7146,95.21,AMD,95.87,0.6455,97.038,456542,1,-1.07
6.095,-2.3217,5.835,SOFI,5.89,0.4678,6.1,91854,0,-0.4
