high,percentchange,low,open,symbol,price,relvolume,watchers,hourchange,sentiment
483.31,1.1921,475.77,475.74,NOC,480.45,0.491,8041,0,-17.86
291.6,-0.2562,287.02,291.57,MSFT,288.06,0.4461,443604,5,4.12
281.0802,1.8128,273.57,275.335,NVDA,274.915,1.0661,421835,26,-0.18
231.31,0.738,222.23,225.43,ENPH,226.58,0.6972,37486,0,-0.4
220.44,-0.361,216.215,219.91,META,218.07,0.3011,512936,2,-0.81
187.69,-1.3099,183.5887,187.15,TSLA,184.59,0.4836,891764,23,-0.76
167.41,0.7736,165.65,166.1,AAPL,166.5083,0.539,878076,3,3.3
141.77,1.1569,139.03,140.27,JPM,141.4477,0.6874,82988,3,0.28
129.38,0.851,127.82,128.81,EA,129.17,0.3674,20706,0,0.0
128.68,0.2191,127.35,128.14,IBM,128.1,0.3434,51379,1,-1.59
106.515,-1.4863,104.25,106.49,GOOGL,104.395,0.4835,160551,3,-0.88
104.2,-0.7884,101.52,103.95,AMZN,101.93,0.4487,588639,-1,1.99
91.86,0.0439,90.995,91.57,SONY,91.19,0.5705,2086,0,0.0
92.16,-0.1669,89.33,91.61,AMD,89.72,0.6188,456867,6,0.88
32.46,-0.7467,31.8,32.43,INTC,31.9,0.3439,131275,3,0.32
9.285,-1.9702,8.76,9.22,CVNA,8.8815,0.2244,23305,-3,-4.05
6.02,0.1678,5.895,6.0,SOFI,5.97,0.3629,91916,-1,-0.55
5.212,-2.6923,4.98,5.23,AMC,5.06,0.2912,413185,0,-2.03
