percentchange,open,relvolume,price,low,high,symbol,watchers,hourchange,sentiment
-0.6,5.11,0.5325,4.97,4.865,5.16,AMC,412471,1,0.75
0.989,161.53,0.5827,162.36,161.271,162.47,AAPL,876773,2,4.34
1.262,284.23,0.6427,284.05,281.5,284.46,MSFT,442605,5,-0.15
1.2126,203.38,0.6432,207.84,202.85,208.09,META,512306,5,6.08
0.6472,209.435,0.6629,205.27,203.96,214.19,ENPH,37320,-1,-2.39
-0.302,129.95,0.7826,128.75,127.65,130.12,JPM,82477,3,1.21
-0.4931,100.91,0.6807,100.89,99.78,101.155,GOOGL,159894,4,2.76
-0.5217,5.87,0.6344,5.72,5.62,5.93,SOFI,91770,1,-1.7
1.8084,31.85,1.4198,32.09,31.81,32.58,INTC,131059,5,4.5
1.7456,101.55,0.6777,102.0,101.01,103.04,AMZN,587428,3,3.47
1.8628,98.0,0.8812,97.88,97.25,99.53,AMD,456364,0,-2.74
-0.1278,460.46,0.3938,460.98,458.5,462.92,NOC,8023,0,0.0
-0.3778,130.16,0.5487,129.22,129.1,131.48,IBM,51343,0,8.38
-0.0755,120.0,0.5217,119.1,118.85,120.05,EA,20710,0,5.56
12.1982,8.08,0.5721,8.83,8.0748,9.0,CVNA,23362,0,-4.62
0.7221,195.58,0.6092,195.28,194.42,197.328,TSLA,889755,4,4.2
1.4787,272.29,0.6652,273.83,271.02,274.99,NVDA,420573,3,2.26
1.6388,88.7,1.4544,89.31,88.555,89.53,SONY,2082,0,0.0
