low,symbol,open,percentchange,price,relvolume,high,watchers,hourchange,sentiment
128.695,EA,129.05,0.2407,129.11,0.504,130.12,20702,0,10.0
283.0608,MSFT,285.01,-0.1223,285.76,0.5756,286.26,443720,-1,-1.66
267.2301,NVDA,269.52,0.0553,271.19,0.644,271.83,422040,3,1.39
125.27,IBM,126.0,-0.4986,125.73,1.0535,126.69,51487,0,1.75
164.5,AAPL,165.05,-0.9781,165.02,0.7882,166.45,878310,878298,-1.5
209.76,META,210.21,-0.0845,212.89,0.5292,213.41,513005,3,-1.19
88.055,AMD,89.8,-1.8644,88.43,0.6306,89.72,456942,0,0.91
105.08,AMZN,106.1,3.0344,106.96,1.2806,108.15,588940,4,0.55
161.33,TSLA,164.8,1.2823,165.08,0.7409,166.0,892747,9,1.13
104.79,GOOGL,105.47,0.114,105.41,0.5543,106.0,160606,-1,-0.92
219.9,ENPH,223.75,-0.5249,223.61,0.5057,226.77,37490,3,1.65
7.735,CVNA,7.97,1.75,8.14,0.2397,8.29,23257,0,-1.24
91.61,SONY,91.87,0.7332,92.05,0.7484,92.38,2089,0,0.0
5.85,SOFI,5.9,0.3378,5.94,0.4494,5.99,91962,2,0.01
468.84,NOC,475.72,-0.4618,471.99,0.6011,474.875,8044,0,1.43
4.91,AMC,4.94,0.4024,4.99,0.3518,5.07,413187,2,0.21
30.225,INTC,30.84,-1.8146,30.3,0.5032,30.79,131286,0,-1.16
138.78,JPM,139.74,-0.1917,140.54,0.6957,141.11,82973,-1,-3.92
