high,symbol,price,low,percentchange,relvolume,open,watchers,hourchange,sentiment
29.33,INTC,29.29,28.63,0.377,0.6633,29.075,130891,0,-0.81
102.4,GOOGL,101.03,99.7401,-1.3957,0.707,102.44,159817,0,-4.76
7.72,CVNA,7.36,7.22,-3.4121,0.235,7.57,23387,-7,-0.32
196.515,ENPH,193.52,190.624,-1.1796,0.3801,196.0,37298,-1,-3.4
129.66,IBM,129.34,128.8,0.0232,0.4651,129.18,51344,0,3.35
276.13,MSFT,275.23,272.05,-0.4161,0.5713,275.79,442486,4,-2.62
158.1277,AAPL,157.65,155.98,-0.398,0.5555,157.97,876656,3,-2.51
129.3417,JPM,128.88,127.75,0.3035,0.7437,128.71,82450,-1,-1.89
201.03,META,200.68,197.9,-1.0649,0.535,200.15,512220,-3,-3.47
96.93,AMD,94.56,92.87,-2.1219,0.907,96.77,456309,2,-1.22
118.4425,EA,118.02,117.38,-0.5226,0.5197,118.085,20715,0,-1.01
265.13,NVDA,264.1,258.5,-0.4561,0.6755,264.47,420423,3,-0.39
461.5,NOC,459.0,457.59,0.1637,0.3387,458.31,8016,0,-2.78
192.35,TSLA,189.19,185.43,-1.3659,0.5363,192.0,889585,16,-3.02
98.44,AMZN,97.24,96.29,-0.816,0.4953,98.11,587260,7,-1.74
86.6682,SONY,85.82,85.745,-0.9464,0.8063,86.11,2081,0,0.0
5.5,AMC,5.15,4.46,13.1868,2.4732,4.51,412081,107,-0.37
5.79,SOFI,5.59,5.51,-2.9514,0.5751,5.74,91755,0,0.53
