high,low,percentchange,symbol,relvolume,open,price,watchers,hourchange,sentiment
94.5,91.36,-3.4526,AMD,0.7872,94.35,92.56,456574,-3,-2.38
473.58,467.85,0.6003,NOC,0.5536,467.22,470.91,8036,0,0.0
128.14,126.46,0.1491,JPM,0.609,126.8,127.61,82526,0,3.59
4.09,3.94,3.5806,AMC,0.7224,4.07,4.05,412890,1,-1.18
269.98,263.95,-2.0836,NVDA,0.9568,268.29,268.81,421051,5,-4.01
215.19,209.95,-1.5089,META,0.5446,214.15,211.48,512549,-1,-3.89
287.145,282.95,-0.9889,MSFT,0.5843,285.85,284.34,442943,0,-4.57
190.68,183.76,-3.666,TSLA,0.7518,190.515,185.52,890600,2,-1.08
106.1,103.66,-0.2387,GOOGL,0.6109,105.78,104.47,160109,-5,-0.03
132.61,131.47,0.4103,IBM,0.4187,131.37,132.14,51365,6,0.0
90.02,89.53,-1.4943,SONY,0.7198,89.9,89.65,2087,0,0.0
5.87,5.5801,-2.5467,SOFI,0.786,5.87,5.74,91869,2,0.68
32.985,32.335,-0.8157,INTC,0.7132,32.795,32.83,131189,-2,-1.12
201.62,187.73,-4.3794,ENPH,0.8384,200.0,193.67,37379,2,0.69
103.91,100.7506,-2.7417,AMZN,0.5813,103.91,101.1,587861,-2,0.57
165.05,161.8,-1.129,AAPL,0.6702,164.74,163.76,877252,4,-8.61
126.27,124.85,0.7266,EA,0.7325,125.24,126.15,20706,0,0.0
9.38,8.39,-10.5263,CVNA,0.3189,9.38,8.5,23331,0,-1.57
