price,percentchange,low,relvolume,symbol,high,open,watchers,hourchange,sentiment
473.91,0.2836,471.38,0.3179,NOC,477.68,472.99,8040,0,8.33
287.6,0.5102,286.2,0.5191,MSFT,291.58,289.93,443539,1,1.32
268.1,0.1943,264.36,0.4872,NVDA,269.225,265.655,421723,6,-0.68
224.535,7.4844,214.7801,1.4273,ENPH,229.23,215.0,37460,0,4.11
219.01,-1.1197,217.13,0.363,META,220.979,219.79,512898,2,0.25
186.1292,0.6104,182.7,0.5906,TSLA,189.69,186.32,891624,4,0.75
164.85,-0.2179,164.03,0.4445,AAPL,165.39,165.09,877998,10,1.2
139.4303,0.5048,137.66,0.8337,JPM,140.06,139.95,82968,2,0.7
128.23,0.2815,127.14,0.322,EA,128.42,127.37,20706,0,-10.0
127.425,-0.558,126.8,0.3855,IBM,128.72,128.3,51377,0,-3.45
105.855,-2.7694,104.52,0.7207,GOOGL,106.0,104.658,160510,7,-11.18
102.345,-0.161,101.59,0.4538,AMZN,103.73,103.16,588603,7,-1.74
91.16,0.3302,90.35,0.7209,SONY,91.21,90.55,2088,0,0.0
89.52,-2.4305,88.3,0.6153,AMD,90.69,90.23,456840,7,-1.93
32.065,0.5488,31.77,0.4042,INTC,32.64,31.95,131266,2,3.52
8.8915,-0.8751,8.68,0.2187,CVNA,9.2192,8.91,23313,-3,-0.75
5.945,0.4223,5.81,0.5722,SOFI,5.96,5.89,91911,-6,0.1
5.1804,1.1797,5.1301,0.3071,AMC,5.3,5.24,413210,-1,-1.04
