relvolume,price,high,low,open,symbol,percentchange,watchers,hourchange,sentiment
0.9909,209.69,211.55,198.52,200.01,ENPH,6.9683,37423,4,-4.7
0.6105,92.09,93.16,91.83,92.79,AMD,-0.2599,456760,-1,0.8
0.6485,264.63,268.869,263.29,267.34,NVDA,-0.1208,421512,6,-2.79
0.5092,5.46,5.66,5.39,5.48,AMC,2.2472,413216,-2,-3.23
0.8567,165.56,165.8,161.44,161.63,AAPL,3.4104,877743,-6,4.18
0.8901,127.9,128.39,126.01,128.01,IBM,-0.4979,51364,1,5.98
0.9312,102.4,102.56,98.73,98.95,AMZN,4.6714,588377,0,5.12
0.602,289.84,289.9,283.17,283.59,MSFT,2.2399,443350,0,0.83
0.3162,9.37,9.76,9.201,9.27,CVNA,1.4069,23338,5,0.6
0.7779,128.99,129.035,126.84,128.46,JPM,0.3813,82712,5,2.71
0.5437,5.86,5.98,5.825,5.91,SOFI,0.6873,91911,-1,1.85
0.3826,474.16,476.065,469.78,472.0,NOC,0.294,8038,0,-13.33
0.474,32.13,32.4252,31.65,31.82,INTC,0.3435,131232,0,4.5
0.7734,90.49,90.83,90.0,90.1,SONY,1.174,2088,0,0.0
0.5101,107.43,107.49,105.9,105.84,GOOGL,2.6663,160358,0,-0.74
0.4634,128.28,128.72,126.58,126.58,EA,1.7046,20703,0,6.67
0.6771,220.35,221.15,215.82,215.73,META,2.9673,512793,0,2.93
0.6485,185.9,186.5,180.94,182.955,TSLA,2.9689,891314,-6,0.99
