low,price,high,open,percentchange,symbol,relvolume,watchers,hourchange,sentiment
284.54,288.45,289.05,285.99,0.0277,MSFT,0.4744,443657,1,5.45
222.3,224.27,228.49,225.06,-1.5798,ENPH,0.5032,37473,1,-0.57
177.65,180.59,183.5,179.1,-2.0183,TSLA,0.6315,892165,24,-4.74
5.87,6.08,6.1,5.9,1.6722,SOFI,0.4953,91959,0,1.92
31.0828,31.15,31.52,31.1,-2.1363,INTC,0.4343,131285,4,1.89
8.3,8.63,8.84,8.6,-1.9318,CVNA,0.2952,23286,5,-1.5
90.73,90.97,91.12,91.0,-0.3724,SONY,0.5063,2089,0,0.0
4.92,5.1,5.17,4.95,0.9901,AMC,0.3154,413188,0,-0.52
165.54,167.63,168.16,165.8,0.6968,AAPL,0.6395,878196,0,5.73
272.32,279.31,280.0,273.61,0.9542,NVDA,0.6812,421930,5,5.4
476.24,477.07,482.74,480.46,-0.5006,NOC,0.4242,8043,0,3.33
101.39,104.3,105.12,101.58,1.955,AMZN,0.8364,588753,0,2.43
88.22,89.94,90.54,88.51,0.1782,AMD,0.5543,456906,2,0.16
103.07,104.18,104.98,103.58,-0.3062,GOOGL,0.4564,160563,0,0.06
125.3,126.32,126.98,126.5,-1.1426,IBM,0.9493,51454,5,-3.05
212.94,215.7,217.33,213.472,-1.0051,META,0.4728,512956,3,3.52
128.075,128.18,128.9,128.58,-0.6665,EA,0.3668,20704,0,10.0
140.41,141.22,141.5,141.23,-0.1273,JPM,0.5763,82986,0,0.49
