relvolume,percentchange,high,low,open,price,symbol,watchers,hourchange,sentiment
0.5877,-1.0201,32.89,31.96,32.77,32.02,INTC,131234,0,-5.31
0.9555,-2.5126,6.05,5.67,6.06,5.82,SOFI,91919,0,-0.21
0.6074,-1.4415,130.87,128.18,130.4,128.54,IBM,51367,0,-2.42
0.4105,0.3581,127.1812,125.82,126.28,126.13,EA,20702,1,-16.67
0.4255,0.961,474.7299,466.03,467.43,472.77,NOC,8038,0,0.0
0.8136,-1.8079,94.995,91.74,94.97,92.33,AMD,456746,3,6.03
0.7301,0.2334,287.01,281.96,284.79,283.49,MSFT,443294,2,-1.73
0.6508,-0.4353,162.06,159.78,161.22,160.1,AAPL,877677,-3,0.8
0.5844,-5.3279,10.32,8.79,9.79,9.24,CVNA,23330,3,7.13
0.827,-1.6575,5.74,5.34,5.62,5.34,AMC,413211,-8,0.52
0.4882,0.5961,90.4,89.29,90.0,89.44,SONY,2089,0,0.0
0.66,-0.0156,130.43,128.0603,129.18,128.5,JPM,82616,-2,0.59
0.5478,0.0701,216.84,212.584,214.835,214.0,META,512757,0,-1.25
0.8408,-2.4808,274.63,264.4786,273.7,264.95,NVDA,421429,6,1.72
0.8639,-3.346,191.58,180.31,190.74,180.54,TSLA,891210,0,-0.13
0.5099,-0.6739,106.75,104.34,106.58,104.64,GOOGL,160339,0,-0.19
0.4414,-0.4317,201.26,195.81,199.9,196.03,ENPH,37409,3,1.68
0.7773,-2.0917,100.51,97.705,100.4,97.83,AMZN,588254,5,-1.25
