relvolume,percentchange,low,symbol,open,price,high,watchers,hourchange,sentiment
0.3353,-0.5798,476.37,NOC,480.46,476.69,482.74,8043,0,7.5
0.438,0.0312,284.54,MSFT,285.99,288.46,289.05,443644,3,4.78
0.6185,0.9222,272.32,NVDA,273.61,279.2215,279.28,421918,-3,2.29
0.4506,-1.6764,222.3,ENPH,225.06,224.05,228.49,37476,0,-0.26
0.4353,-0.8261,212.94,META,213.472,216.09,217.33,512959,-1,2.41
0.5752,-1.1557,177.65,TSLA,179.1,182.18,183.5,891974,16,0.13
0.577,0.7419,165.54,AAPL,165.8,167.705,168.16,878176,7,3.04
0.5073,-0.046,140.41,JPM,141.23,141.335,141.5,82989,0,-0.7
0.3086,-0.5076,128.08,EA,128.58,128.385,128.9,20704,0,10.0
0.7582,-1.3461,125.3,IBM,126.5,126.06,126.98,51405,2,1.02
0.7652,2.2472,101.39,AMZN,101.58,104.5989,105.12,588736,8,2.54
0.4042,-0.1675,103.07,GOOGL,103.58,104.325,104.98,160556,2,-0.17
0.3925,-0.46,90.73,SONY,91.0,90.89,91.12,2086,0,0.0
0.5084,0.0,88.22,AMD,88.51,89.78,90.54,456899,2,1.42
0.3519,-1.9164,31.0828,INTC,31.1,31.22,31.52,131279,-4,-0.62
0.2693,-0.7955,8.3,CVNA,8.6,8.73,8.84,23285,0,-4.31
0.4542,1.7375,5.87,SOFI,5.9,6.0839,6.1,91947,0,0.91
0.2772,0.396,4.92,AMC,4.95,5.07,5.17,413183,2,-1.84
