price,high,low,symbol,relvolume,percentchange,open,watchers,hourchange,sentiment
450.09,452.2,445.36,NOC,0.3815,1.463,445.27,8002,0,9.09
271.46,277.48,269.85,MSFT,1.1441,-2.8522,276.98,441930,4,-0.03
258.96,260.24,251.3,NVDA,0.7721,0.6647,256.15,419417,4,1.07
197.25,199.36,193.64,META,0.6679,0.8384,198.48,511735,0,0.54
192.3,196.88,185.2,ENPH,1.1011,4.7157,189.59,37203,-4,0.93
183.2,186.44,176.35,TSLA,0.674,1.7043,178.08,888857,4,-0.43
157.365,157.81,154.15,AAPL,0.7907,1.5258,155.07,876013,5,-0.7
126.97,129.46,126.01,JPM,1.5182,0.922,126.99,82205,5,0.49
125.8,125.9115,124.19,IBM,0.6541,1.7059,124.31,51324,0,-0.86
113.55,114.28,113.01,EA,0.4577,0.1764,113.01,20730,0,0.0
101.145,101.75,99.88,GOOGL,0.6677,-0.4674,100.12,159575,4,-0.31
97.515,98.48,95.7,AMZN,0.7326,-1.4502,98.41,586756,4,0.75
96.38,96.79,92.9,AMD,1.4737,-1.4922,96.3,455936,1,-0.73
88.4,89.16,87.33,SONY,1.0036,2.1729,87.52,2079,0,0.0
29.295,29.9,28.63,INTC,0.6933,-1.7276,29.8,130823,1,0.19
6.9901,7.81,6.87,CVNA,0.3088,-8.6261,7.43,23279,-3,-1.47
5.235,5.54,5.22,SOFI,0.7718,-4.1209,5.47,91583,-1,1.29
4.3075,4.38,4.14,AMC,0.4216,3.0502,4.25,411739,1,-0.62
