percentchange,high,relvolume,open,price,symbol,low,watchers,hourchange,sentiment
0.1876,129.84,0.6373,128.46,128.14,IBM,127.31,51370,0,-6.55
0.1074,103.2013,0.7199,102.07,102.51,AMZN,101.11,588473,3,0.91
0.5174,222.11,0.6378,217.88,221.49,META,217.56,512854,0,1.19
7.551,139.12,3.0765,135.15,138.73,JPM,134.9001,82936,4,5.98
-0.2114,166.32,0.6406,164.59,165.21,AAPL,163.83,877855,0,1.6
1.3404,108.935,0.566,106.89,108.87,GOOGL,106.88,160402,2,-0.49
-0.3767,214.57,0.6939,209.77,208.9,ENPH,204.67,37422,0,-3.37
-0.3196,128.53,0.4028,127.98,127.87,EA,127.45,20705,0,0.0
-0.4841,186.28,0.5598,183.95,185.0,TSLA,182.01,891426,0,0.32
0.4089,91.46,0.8867,90.85,90.86,SONY,90.412,2088,0,0.0
-0.747,32.235,0.4201,32.0,31.89,INTC,31.69,131241,1,-1.8
1.0239,6.03,0.6398,5.99,5.92,SOFI,5.77,91899,0,-0.87
-6.2271,5.75,0.9005,5.74,5.12,AMC,4.9,413214,-1,-0.51
-0.3692,92.97,0.5911,91.82,91.75,AMD,90.5,456769,-1,0.2
-0.3353,473.09,0.3372,470.55,472.57,NOC,468.765,8040,0,13.33
1.1148,268.83,0.7461,265.04,267.58,NVDA,262.2,421597,2,-0.9
-1.2766,288.48,0.5743,287.0,286.14,MSFT,283.69,443403,4,-0.46
-4.2689,9.798,0.3345,9.47,8.97,CVNA,8.68,23325,1,-2.15
