open,percentchange,high,relvolume,low,symbol,price,watchers,hourchange,sentiment
10.13,-5.3279,10.32,0.5844,8.79,CVNA,9.24,23330,3,7.13
161.22,-0.4353,162.06,0.6508,159.78,AAPL,160.1,877677,-3,0.8
5.62,-1.6575,5.74,0.827,5.34,AMC,5.34,413211,-8,0.52
90.0,0.5961,90.4,0.4882,89.29,SONY,89.44,2089,0,0.0
129.18,-0.0156,130.43,0.66,128.0603,JPM,128.5,82616,-2,0.59
273.7,-2.4808,274.63,0.8408,264.4786,NVDA,264.95,421429,6,1.72
214.835,0.0701,216.84,0.5478,212.584,META,214.0,512757,0,-1.25
190.74,-3.346,191.58,0.8639,180.31,TSLA,180.54,891210,0,-0.13
199.9,-0.4317,201.26,0.4414,195.81,ENPH,196.03,37409,3,1.68
100.4,-2.0917,100.51,0.7773,97.705,AMZN,97.83,588254,5,-1.25
106.58,-0.6739,106.75,0.5099,104.34,GOOGL,104.64,160339,0,-0.19
32.77,-1.0201,32.89,0.5877,31.96,INTC,32.02,131234,0,-5.31
6.06,-2.5126,6.05,0.9555,5.67,SOFI,5.82,91919,0,-0.21
126.28,0.3581,127.1812,0.4105,125.82,EA,126.13,20702,1,-16.67
130.4,-1.4415,130.87,0.6074,128.18,IBM,128.54,51367,0,-2.42
467.43,0.961,474.7299,0.4255,466.03,NOC,472.77,8038,0,0.0
94.97,-1.8079,94.995,0.8136,91.74,AMD,92.33,456746,3,6.03
284.79,0.2334,287.01,0.7301,281.96,MSFT,283.49,443294,2,-1.73
