relvolume,price,high,symbol,low,percentchange,open,watchers,hourchange,sentiment
0.7219,130.31,130.34,JPM,128.8514,1.2117,129.66,82484,-3,-2.86
0.6778,103.73,103.89,GOOGL,101.05,2.8149,101.3,159926,-2,4.08
0.6381,103.29,103.42,AMZN,101.95,1.2647,102.16,587480,3,2.05
1.4706,90.65,90.92,SONY,89.75,1.5004,89.77,2084,1,0.0
0.7758,277.77,278.34,NVDA,271.05,1.4388,271.4,420630,3,4.13
0.5809,131.09,131.23,IBM,129.42,1.4471,129.47,51346,0,2.13
0.544,210.28,212.12,ENPH,205.81,2.4407,206.02,37334,2,-1.0
1.0566,6.07,6.17,SOFI,5.67,6.1189,5.75,91784,3,0.85
0.4159,461.72,463.32,NOC,459.45,0.1605,462.98,8026,0,0.0
0.653,211.94,212.17,META,206.77,1.9727,207.24,512329,-12,4.29
0.4763,5.01,5.055,AMC,4.87,0.8048,4.91,412477,4,-0.06
1.0575,32.67,32.8998,INTC,31.74,1.8074,31.8,131096,4,0.0
0.8317,98.01,98.36,AMD,95.27,0.1328,96.34,456390,0,3.74
0.475,9.79,9.79,CVNA,8.77,10.872,8.9,23376,15,2.91
0.9318,207.46,207.79,TSLA,197.23,6.2372,197.53,889867,8,7.79
0.7363,164.9,165.0,AAPL,162.13,1.5644,162.44,876833,2,4.63
0.7248,288.3,288.81,MSFT,283.03,1.4962,283.73,442657,3,2.56
0.6957,120.45,120.53,EA,118.985,1.1335,119.38,20709,0,-7.14
