price,symbol,open,low,relvolume,high,percentchange,watchers,hourchange,sentiment
474.16,NOC,472.0,469.78,0.3826,476.065,0.294,8038,0,-16.67
128.99,JPM,128.46,126.84,0.7779,129.035,0.3813,82724,12,5.21
5.86,SOFI,5.91,5.825,0.5437,5.98,0.6873,91912,1,2.23
32.13,INTC,31.82,31.65,0.474,32.4252,0.3435,131233,1,4.48
90.49,SONY,90.1,90.0,0.7734,90.83,1.174,2088,0,0.0
128.28,EA,126.58,126.58,0.4634,128.72,1.7046,20703,0,6.67
107.43,GOOGL,105.84,105.9,0.5101,107.49,2.6663,160358,0,-1.99
220.35,META,215.73,215.82,0.6771,221.15,2.9673,512797,4,2.53
185.9,TSLA,182.955,180.94,0.6485,186.5,2.9689,891316,2,1.06
209.69,ENPH,200.01,198.52,0.9909,211.55,6.9683,37423,0,-4.82
92.09,AMD,92.79,91.83,0.6105,93.16,-0.2599,456763,3,1.01
264.63,NVDA,267.34,263.29,0.6485,268.869,-0.1208,421515,3,-2.68
5.46,AMC,5.48,5.39,0.5092,5.66,2.2472,413219,3,-3.19
165.56,AAPL,161.63,161.44,0.8567,165.8,3.4104,877752,9,4.25
127.9,IBM,128.01,126.01,0.8901,128.39,-0.4979,51365,1,6.94
102.4,AMZN,98.95,98.73,0.9312,102.56,4.6714,588378,1,4.69
289.84,MSFT,283.59,283.17,0.602,289.9,2.2399,443354,4,0.83
9.37,CVNA,9.27,9.201,0.3162,9.76,1.4069,23338,0,1.75
