relvolume,low,price,high,open,symbol,percentchange,watchers,hourchange,sentiment
0.786,5.5801,5.74,5.87,5.87,SOFI,-2.5467,91868,-1,0.89
0.7132,32.335,32.83,32.985,32.795,INTC,-0.8157,131189,0,-0.93
0.8384,187.73,193.67,201.62,200.0,ENPH,-4.3794,37380,1,0.91
0.5813,100.7506,101.1,103.91,103.91,AMZN,-2.7417,587863,2,-0.27
0.6702,161.8,163.76,165.05,164.74,AAPL,-1.129,877251,-1,-9.65
0.3189,8.39,8.5,9.38,9.38,CVNA,-10.5263,23332,1,-2.07
0.7325,124.85,126.15,126.27,125.24,EA,0.7266,20706,0,0.0
0.7872,91.36,92.56,94.5,94.35,AMD,-3.4526,456579,5,-1.91
0.609,126.46,127.61,128.14,126.8,JPM,0.1491,82525,-1,0.4
0.5536,467.85,470.91,473.58,467.22,NOC,0.6003,8036,0,0.0
0.7224,3.94,4.05,4.09,4.07,AMC,3.5806,412883,-7,-0.81
0.9568,263.95,268.81,269.98,268.29,NVDA,-2.0836,421050,-1,-4.0
0.5843,282.95,284.34,287.145,285.85,MSFT,-0.9889,442947,4,-4.68
0.5446,209.95,211.48,215.19,214.15,META,-1.5089,512546,-3,-3.86
0.7518,183.76,185.52,190.68,190.515,TSLA,-3.666,890603,3,-1.35
0.7198,89.53,89.65,90.02,89.9,SONY,-1.4943,2087,0,0.0
0.6109,103.66,104.47,106.1,105.78,GOOGL,-0.2387,160105,-4,0.33
0.4187,131.47,132.14,132.61,131.37,IBM,0.4103,51366,1,0.0
