price,high,percentchange,low,open,relvolume,symbol,watchers,hourchange,sentiment
469.0,476.01,-1.5822,468.95,476.12,0.4034,NOC,8039,0,5.0
282.73,285.87,-2.3014,281.64,285.75,0.6897,MSFT,443222,11,-2.01
272.49,277.89,-1.1966,271.26,277.235,0.5178,NVDA,421358,5,-0.42
214.15,216.02,-0.2794,213.83,215.48,0.4285,META,512716,1,-2.07
197.01,199.04,0.618,193.14,195.9,0.3154,ENPH,37408,-2,-0.86
187.1744,189.19,1.444,185.65,186.69,0.6318,TSLA,891122,8,-0.07
160.95,162.36,-0.6665,160.51,162.35,0.5385,AAPL,877578,5,-4.72
130.9,131.1,-0.0992,130.18,130.58,0.3932,IBM,51365,1,0.0
128.81,128.935,0.7194,127.54,128.3,0.5609,JPM,82602,0,0.17
125.84,126.25,0.1751,124.74,125.13,0.3621,EA,20704,0,-1.14
105.72,106.73,-0.6764,104.68,106.55,0.5223,GOOGL,160315,2,-0.08
100.1,100.99,-2.026,99.01,100.8,0.7577,AMZN,588161,7,-5.29
94.05,96.065,-1.4977,92.7,96.06,0.7385,AMD,456714,0,3.47
89.1,89.48,0.6666,88.98,89.24,0.426,SONY,2089,0,0.0
32.475,33.11,-0.1384,32.45,32.66,0.3976,INTC,131221,-2,-10.6
9.915,10.8485,6.4984,9.6,9.79,0.7435,CVNA,23334,2,13.41
5.965,6.02,0.9306,5.86,5.91,0.6099,SOFI,91914,0,2.29
5.4928,5.63,4.8244,5.25,5.45,0.837,AMC,413160,4,4.39
