relvolume,low,price,symbol,percentchange,open,high,watchers,hourchange,sentiment
0.7301,281.96,283.49,MSFT,0.2334,284.79,287.01,443295,-1,-1.45
0.4105,125.82,126.13,EA,0.3581,126.28,127.1812,20703,0,-16.67
0.6508,159.78,160.1,AAPL,-0.4353,161.22,162.06,877691,3,0.66
0.8136,91.74,92.33,AMD,-1.8079,94.97,94.995,456745,0,5.79
0.827,5.34,5.34,AMC,-1.6575,5.62,5.74,413217,-1,-0.28
0.5844,8.79,9.24,CVNA,-5.3279,9.79,10.32,23330,1,6.51
0.4882,89.29,89.44,SONY,0.5961,90.0,90.4,2089,0,0.0
0.66,128.0603,128.5,JPM,-0.0156,129.18,130.43,82625,0,-2.34
0.8639,180.31,180.54,TSLA,-3.346,190.74,191.58,891244,9,-0.47
0.5478,212.584,214.0,META,0.0701,214.835,216.84,512770,1,-1.58
0.8408,264.4786,264.95,NVDA,-2.4808,273.7,274.63,421445,1,-0.42
0.7773,97.705,97.83,AMZN,-2.0917,100.4,100.51,588281,6,0.08
0.4414,195.81,196.03,ENPH,-0.4317,199.9,201.26,37410,0,2.33
0.5099,104.34,104.64,GOOGL,-0.6739,106.58,106.75,160350,4,0.6
0.5877,31.96,32.02,INTC,-1.0201,32.77,32.89,131233,0,-7.09
0.6074,128.18,128.54,IBM,-1.4415,130.4,130.87,51369,0,-3.07
0.4255,466.03,472.77,NOC,0.961,467.43,474.7299,8038,0,3.33
0.9555,5.67,5.82,SOFI,-2.5126,6.06,6.05,91916,0,-0.42
