price,percentchange,high,low,open,relvolume,symbol,watchers,hourchange,sentiment
91.75,-0.3692,92.97,90.5,91.82,0.5911,AMD,456765,-5,-0.81
286.14,-1.2766,288.48,283.69,287.0,0.5743,MSFT,443394,2,-0.1
267.58,1.1148,268.83,262.2,265.04,0.7461,NVDA,421586,2,-2.12
472.57,-0.3353,473.09,468.765,470.55,0.3372,NOC,8041,0,8.57
8.97,-4.2689,9.8,8.68,9.47,0.3345,CVNA,23330,0,-1.34
221.49,0.5174,222.11,217.56,217.88,0.6378,META,512836,1,-0.2
128.14,0.1876,129.84,127.31,128.46,0.6373,IBM,51370,1,-3.15
102.51,0.1074,103.2013,101.11,102.07,0.7199,AMZN,588467,1,0.2
138.73,7.551,139.12,134.9001,135.15,3.0765,JPM,82922,-1,7.84
108.87,1.3404,108.935,106.88,106.89,0.566,GOOGL,160403,0,-2.01
165.21,-0.2114,166.32,163.83,164.59,0.6406,AAPL,877848,-3,1.05
127.87,-0.3196,128.53,127.45,127.98,0.4028,EA,20705,0,10.0
90.86,0.4089,91.46,90.412,90.85,0.8867,SONY,2088,0,0.0
208.9,-0.3767,214.57,204.67,209.77,0.6939,ENPH,37423,0,-3.47
185.0,-0.4841,186.28,182.01,183.95,0.5598,TSLA,891423,10,-0.09
31.89,-0.747,32.235,31.69,32.0,0.4201,INTC,131239,0,-1.9
5.92,1.0239,6.03,5.77,5.99,0.6398,SOFI,91903,-10,-0.49
5.12,-6.2271,5.76,4.9,5.74,0.9005,AMC,413217,-3,-0.28
