open,price,low,percentchange,symbol,high,relvolume,watchers,hourchange,sentiment
270.31,267.79,263.55,-1.5152,NVDA,271.67,0.8619,420203,3,-1.13
8.18,8.19,7.95,-1.9162,CVNA,8.47,0.2716,23415,-2,-0.45
99.18,97.95,96.74,-2.3235,AMD,99.52,1.0179,456186,2,-2.47
123.36,125.29,122.88,1.5563,IBM,125.4,0.6283,51329,0,-2.11
158.86,160.25,157.85,0.8306,AAPL,160.34,0.6983,876399,2,-1.16
277.24,280.57,275.3,1.048,MSFT,280.63,0.7429,442262,4,0.64
445.08,455.25,443.105,2.4323,NOC,456.2,0.7919,8012,0,-10.23
118.08,119.03,117.61,2.5767,EA,119.205,0.8715,20721,1,0.0
5.675,5.74,5.645,-0.692,SOFI,5.83,0.4643,91710,2,-0.35
4.4,4.47,4.38,0.0,AMC,4.54,0.283,411928,1,0.31
29.04,29.36,28.93,1.1368,INTC,29.81,1.0801,130869,0,-2.05
98.065,98.13,96.4,-0.5876,AMZN,98.295,0.6949,587054,1,-0.83
205.18,206.01,203.55,0.8469,META,207.574,0.7884,512052,1,2.76
191.65,190.41,187.15,-0.9416,TSLA,192.36,0.6231,889291,4,-1.08
104.99,105.44,103.84,-0.1515,GOOGL,105.49,0.6651,159720,0,-3.23
88.3,87.53,86.96,-0.8383,SONY,88.3,1.3895,2082,0,0.0
202.35,195.99,192.46,-4.2363,ENPH,203.55,0.8771,37276,0,4.82
125.63,124.91,123.11,-1.5216,JPM,125.68,1.496,82377,1,0.12
