open,symbol,percentchange,low,relvolume,price,high,watchers,hourchange,sentiment
4.07,AMC,3.5806,3.94,0.7224,4.05,4.09,412883,0,-0.55
268.29,NVDA,-2.0836,263.95,0.9568,268.81,269.98,421054,4,-3.53
285.85,MSFT,-0.9889,282.95,0.5843,284.34,287.145,442946,-1,-4.56
214.15,META,-1.5089,209.95,0.5446,211.48,215.19,512545,-1,-3.58
190.515,TSLA,-3.666,183.76,0.7518,185.52,190.68,890609,6,-1.41
89.9,SONY,-1.4943,89.5312,0.7198,89.65,90.02,2087,0,0.0
105.78,GOOGL,-0.2387,103.66,0.6109,104.47,106.1,160103,-2,0.52
5.87,SOFI,-2.5467,5.5801,0.786,5.74,5.87,91868,0,0.71
131.37,IBM,0.4103,131.37,0.4187,132.14,132.61,51366,0,0.0
32.795,INTC,-0.8157,32.335,0.7132,32.83,32.985,131190,1,-1.83
200.0,ENPH,-4.3794,187.73,0.8384,193.67,201.62,37380,0,0.7
103.91,AMZN,-2.7417,100.7506,0.5813,101.1,103.91,587868,5,-0.87
164.74,AAPL,-1.129,161.8,0.6702,163.76,165.05,877253,2,-9.35
9.38,CVNA,-10.5263,8.39,0.3189,8.5,9.38,23330,-2,-1.85
125.24,EA,0.7266,124.85,0.7325,126.15,126.27,20706,0,0.0
94.35,AMD,-3.4526,91.36,0.7872,92.56,94.5,456579,0,-1.63
126.8,JPM,0.1491,126.46,0.609,127.61,128.15,82525,0,0.27
467.22,NOC,0.6003,467.22,0.5536,470.91,473.6,8036,0,0.0
