open,price,percentchange,high,low,relvolume,symbol,watchers,hourchange,sentiment
119.38,120.45,1.1335,120.53,118.985,0.6957,EA,20709,0,0.0
283.73,288.3,1.4962,288.81,283.03,0.7248,MSFT,442663,2,2.55
129.66,130.31,1.2117,130.34,128.8514,0.7219,JPM,82481,-2,-2.16
101.3,103.73,2.8149,103.89,101.05,0.6778,GOOGL,159926,-2,3.16
102.16,103.29,1.2647,103.42,101.95,0.6381,AMZN,587486,1,2.6
89.77,90.65,1.5004,90.92,89.75,1.4706,SONY,2084,0,0.0
271.4,277.77,1.4388,278.34,271.05,0.7758,NVDA,420633,-2,4.33
206.02,210.28,2.4407,212.12,205.81,0.544,ENPH,37336,0,-0.74
129.47,131.09,1.4471,131.23,129.42,0.5809,IBM,51346,0,2.13
462.98,461.72,0.1605,463.32,459.45,0.4159,NOC,8028,1,0.0
5.75,6.07,6.1189,6.17,5.67,1.0566,SOFI,91783,0,1.46
4.91,5.01,0.8048,5.055,4.87,0.4763,AMC,412471,-2,0.16
207.24,211.94,1.9727,212.17,206.77,0.653,META,512333,4,3.85
31.8,32.67,1.8074,32.8998,31.74,1.0575,INTC,131091,-3,-0.12
96.34,98.01,0.1328,98.36,95.27,0.8317,AMD,456390,0,4.05
197.53,207.46,6.2372,207.79,197.23,0.9318,TSLA,889876,3,8.02
8.9,9.79,10.872,9.79,8.77,0.475,CVNA,23370,-3,7.44
162.44,164.9,1.5644,165.0,162.13,0.7363,AAPL,876844,1,5.1
