open,percentchange,symbol,price,high,relvolume,low,watchers,hourchange,sentiment
472.0,0.3818,NOC,474.575,474.6518,0.2606,469.78,8038,0,-8.57
283.59,1.8096,MSFT,288.62,288.85,0.4362,283.17,443339,9,-1.93
267.34,1.1776,NVDA,268.07,268.869,0.511,263.29,421486,2,-3.55
215.73,2.8505,META,220.1,220.37,0.5099,215.82,512786,7,1.88
200.01,7.4019,ENPH,210.54,211.55,0.7656,198.52,37419,2,-1.26
182.955,2.8747,TSLA,185.73,186.5,0.5608,180.94,891307,8,-0.16
161.63,3.1346,AAPL,165.1185,165.38,0.6355,161.44,877728,3,0.22
128.46,0.0389,JPM,128.55,128.77,0.5481,126.84,82658,14,-5.66
128.01,-0.2801,IBM,128.18,128.215,0.6292,126.01,51367,3,5.26
126.58,1.4509,EA,127.96,128.72,0.3089,126.58,20703,0,0.0
105.84,2.3891,GOOGL,107.14,107.47,0.3967,105.9,160360,-1,-0.48
98.95,4.4669,AMZN,102.2,102.56,0.7306,98.73,588350,6,3.23
92.79,0.1407,AMD,92.4599,93.16,0.4851,91.83,456752,6,1.85
90.1,1.4423,SONY,90.73,90.74,0.4633,90.0,2088,0,0.0
31.82,1.1087,INTC,32.375,32.4,0.3414,31.65,131230,0,-0.14
9.27,2.803,CVNA,9.499,9.76,0.2555,9.201,23336,-3,0.65
5.91,1.1168,SOFI,5.885,5.98,0.3947,5.825,91919,1,0.89
5.48,1.6854,AMC,5.43,5.66,0.4209,5.3975,413218,-3,-2.73
